Question ID,Question Text,All,44+,55+,Africa,Asia,Caribbean,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,Middle Africa,North America,Norther Europe,Northern Africa,Northern America,O1: Arabic,O1: Chinese Simplified,O1: English,O1: French,O1: Hindi,O1: Portuguese,O1: Russian,O1: Spanish,O2: &lt;18,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O2: 65+,O3: Female,O3: Male,O3: Non-binary,O3: Other / prefer not to say,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,O6: Sikhism,O7: Afghanistan,O7: Albania,O7: Algeria,O7: Andorra,O7: Angola,O7: Antigua & Deps,O7: Argentina,O7: Armenia,O7: Australia,O7: Austria,O7: Azerbaijan,O7: Bahamas,O7: Bahrain,O7: Bangladesh,O7: Barbados,O7: Belarus,O7: Belgium,O7: Belize,O7: Benin,O7: Bhutan,O7: Bolivia,O7: Bosnia Herzegovina,O7: Botswana,O7: Brazil,O7: Brunei,O7: Bulgaria,O7: Burkina,O7: Burundi,O7: Cambodia,O7: Cameroon,O7: Canada,O7: Cape Verde,O7: Central African Rep,O7: Chad,O7: Chile,O7: China,O7: Colombia,O7: Comoros,O7: Congo,O7: Congo {Democratic Rep},O7: Costa Rica,O7: Croatia,O7: Cuba,O7: Cyprus,O7: Czech Republic,O7: Denmark,O7: Djibouti,O7: Dominica,O7: Dominican Republic,O7: East Timor,O7: Ecuador,O7: Egypt,O7: El Salvador,O7: Equatorial Guinea,O7: Eritrea,O7: Estonia,O7: Ethiopia,O7: Fiji,O7: Finland,O7: France,O7: Gabon,O7: Gambia,O7: Georgia,O7: Germany,O7: Ghana,O7: Greece,O7: Grenada,O7: Guatemala,O7: Guinea,O7: Guinea-Bissau,O7: Guyana,O7: Haiti,O7: Honduras,O7: Hungary,O7: Iceland,O7: India,O7: Indonesia,O7: Iran,O7: Iraq,O7: Ireland {Republic},O7: Israel,O7: Italy,O7: Ivory Coast,O7: Jamaica,O7: Japan,O7: Jordan,O7: Kazakhstan,O7: Kenya,O7: Kiribati,O7: Korea North,O7: Korea South,O7: Kosovo,O7: Kuwait,O7: Kyrgyzstan,O7: Laos,O7: Latvia,O7: Lebanon,O7: Lesotho,O7: Liberia,O7: Libya,O7: Liechtenstein,O7: Lithuania,O7: Luxembourg,O7: Macedonia,O7: Madagascar,O7: Malawi,O7: Malaysia,O7: Maldives,O7: Mali,O7: Malta,O7: Marshall Islands,O7: Mauritania,O7: Mauritius,O7: Mexico,O7: Micronesia,O7: Moldova,O7: Monaco,O7: Mongolia,O7: Montenegro,O7: Morocco,O7: Mozambique,"O7: Myanmar, {Burma}",O7: Namibia,O7: Nauru,O7: Nepal,O7: Netherlands,O7: New Zealand,O7: Nicaragua,O7: Niger,O7: Nigeria,O7: Norway,O7: Oman,O7: Pakistan,O7: Palau,O7: Palestine,O7: Panama,O7: Papua New Guinea,O7: Paraguay,O7: Peru,O7: Philippines,O7: Poland,O7: Portugal,O7: Qatar,O7: Romania,O7: Russian Federation,O7: Rwanda,O7: Saint Vincent & the Grenadines,O7: Samoa,O7: San Marino,O7: Sao Tome & Principe,O7: Saudi Arabia,O7: Senegal,O7: Serbia,O7: Seychelles,O7: Sierra Leone,O7: Singapore,O7: Slovakia,O7: Slovenia,O7: Solomon Islands,O7: Somalia,O7: South Africa,O7: South Sudan,O7: Spain,O7: Sri Lanka,O7: St Kitts & Nevis,O7: St Lucia,O7: Sudan,O7: Suriname,O7: Swaziland,O7: Sweden,O7: Switzerland,O7: Syria,O7: Taiwan,O7: Tajikistan,O7: Tanzania,O7: Thailand,O7: Togo,O7: Tonga,O7: Trinidad & Tobago,O7: Tunisia,O7: Turkey,O7: Turkmenistan,O7: Tuvalu,O7: Uganda,O7: Ukraine,O7: United Arab Emirates,O7: United Kingdom,O7: United States,O7: Uruguay,O7: Uzbekistan,O7: Vanuatu,O7: Vatican City,O7: Venezuela,O7: Vietnam,O7: Yemen,O7: Zambia,O7: Zimbabwe,Oceania,South America,South Eastern Asia,Souther Asia,Southern Africa,Southern Europe,Western Africa,Western Asia,Western Europe
ac7724c0-5aad-414a-b06d-19c05818892c,Please select your preferred language:,1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
9883c6ec-06ec-402e-a51d-33740e3585b1,How old are you?,1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
2234db6b-486d-49ef-86c6-7f7d47439fff,What is your gender?,1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
d1e34e0a-b7c9-4113-b6c6-9faba1e643bd,What best describes where you live?,1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
8e27b118-4fb8-4fa1-a838-a34b257c2070,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…",1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
815cc5f0-1736-40ef-bd4e-6d96ff2e8d53,What religious group or faith do you most identify with?,1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
b0a2a587-0ad7-4d57-8ce3-6626f6726835,What country or region do you most identify with?,1294,123,34,262,559,2,23,19,193,118,35,179,1,169,68,40,144,17,105,997,13,5,38,29,90,2,445,527,197,89,26,8,656,624,10,4,97,351,846,720,127,447,37,431,158,398,220,23,19,8,0,0,8,0,1,1,1,1,14,2,0,0,0,15,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,44,0,0,0,56,88,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,9,0,0,1,21,3,4,0,0,0,0,0,0,0,3,1,234,42,0,0,6,35,16,0,0,13,0,18,190,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,20,0,0,0,0,1,6,5,0,0,2,5,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,1,13,0,0,0,5,2,49,100,0,1,0,0,1,10,0,0,0,20,102,91,276,23,32,5,59,43
0f541814-99f4-46bb-8a9a-99332e54a800,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,1253,118,33,256,539,2,23,18,189,110,35,173,1,162,65,39,137,16,102,966,12,4,37,28,88,2,430,512,191,85,25,8,630,609,10,4,95,338,820,706,119,428,34,415,154,387,217,21,18,7,0,0,8,0,1,1,1,1,14,1,0,0,0,15,0,0,3,0,0,0,0,0,0,41,0,0,0,0,0,0,43,0,0,0,55,84,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,8,0,0,1,21,2,4,0,0,0,0,0,0,0,3,1,228,41,0,0,6,33,16,0,0,11,0,17,186,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,19,0,0,0,0,1,5,5,0,0,2,4,0,26,0,3,1,0,0,1,22,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,1,1,13,0,0,0,5,2,47,94,0,1,0,0,1,9,0,0,0,20,100,88,270,23,32,4,57,40
ecb3b9b7-e8ce-404f-8ea4-e14a0cb586f1,What is another dangerous outcome you can imagine happening from AI? What would need to be true for that to happen?,1238,116,32,255,532,2,23,18,189,109,35,171,1,160,63,38,135,16,100,956,11,4,36,28,87,2,424,508,188,84,24,8,619,605,10,4,93,336,809,700,115,423,34,411,151,383,215,20,18,6,0,0,8,0,1,1,1,1,14,1,0,0,0,15,0,0,3,0,0,0,0,0,0,40,0,0,0,0,0,0,42,0,0,0,53,83,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,8,0,0,1,21,2,4,0,0,0,0,0,0,0,3,1,224,41,0,0,6,32,16,0,0,11,0,17,186,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,21,0,0,0,1,0,18,0,0,0,0,1,5,5,0,0,2,4,0,26,0,3,1,0,0,1,21,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,1,1,13,0,0,0,5,2,45,93,0,1,0,0,1,9,0,0,0,20,97,87,266,23,32,4,56,40
ce8d6dba-231c-4353-8e8a-ba1e1eb4a10c,Would these things experts believe could help people make a positive difference in your life?,1233,116,32,254,530,2,22,18,188,109,35,171,1,158,63,38,134,16,100,952,11,4,36,28,86,2,423,505,187,84,24,8,618,601,10,4,92,334,807,699,113,421,34,409,151,382,213,20,18,6,0,0,8,0,1,1,1,1,14,1,0,0,0,14,0,0,3,0,0,0,0,0,0,40,0,0,0,0,0,0,41,0,0,0,53,83,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,11,0,0,1,0,0,1,2,8,0,0,1,21,2,4,0,0,0,0,0,0,0,3,1,224,40,0,0,6,32,16,0,0,11,0,17,186,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,20,0,0,0,1,0,18,0,0,0,0,1,5,5,0,0,2,4,0,26,0,3,1,0,0,1,21,6,2,0,1,9,0,0,0,0,0,4,0,0,0,0,7,10,0,0,0,23,0,9,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,13,0,0,0,5,2,45,93,0,1,0,0,1,9,0,0,0,20,97,86,265,23,32,4,56,40
