Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
dc04e9cd-563a-4f2d-8f05-3607526d8717,"One good thing about myt culture is the strong sense of community. The collective spirit fosters support and cooperation, helping individuals and families navigate challenges together.",Positive,Community support and cooperation,Family and community values,,,,,
76430017-397f-4fa0-9d6f-8b876b8c790b,A culture based on human value. Appreciating and respecting people to the utmost extent.,Neutral,Moral and ethical values,Respect and politeness,,,,,
f8816310-3e3f-4146-8606-c5cfea14c1c9,"Family, my culture places crucial importance on family, respect for parents, their kindness",Positive,Family and community values,Moral and ethical values,,,,,
1ab091ac-9236-45a0-b4dd-abd47f64ae1f,"I consider human contact an essential part of my culture, exchange, laughter and plenty of food.",Neutral,Food and culinary traditions,Human connection and empathy,,,,,
4107b779-621a-4439-8ffc-1b8ac0ef87d0,"I consider strong family ties, sitting at the table to share, caring for each other and showing generosity to those around you as my culture.",Positive,Family and community values,Hospitality and kindness,,,,,
44d147bb-f527-4dff-8ddb-14048e8c38d7,I think culture is important but more importantly is the behaviour and kindness to the ones who are good or bad ,Neutral,Moral and ethical values,Social norms and behaviors,,,,,
ece09279-87cf-4420-a504-5bb94e560c49,"I want to see my kids grown. Them familys, kids and grandkids.",Neutral,Uninformative answer,,,,,,
f938461d-41ba-4e10-9410-9f605de3e5a2,"Our culture is our way of life. We embrace the environment, our animals and all our fellow humans",Neutral,Environmental respect and sustainability,Human connection and empathy,,,,,
201dceb7-f7d1-4d8d-96a9-9aaea0087c7e,"Our way of life, our culture. The things we've done together like socializing, the rites of passage we go through and our beliefs.",Neutral,Cultural identity and belonging,Traditions and customs,,,,,
28b48b1e-c446-4862-adbf-3f8ec9c4d4bd,The best thing about my culture is that people really value time spend with loved ones,Positive,Family and community values,,,,,,
6df27c2f-b3d5-4da0-b9b2-5abaa8796d35,"The familial value, I love my parents and they love me and I am thankful the family in my culture does not end at the age of 18.",Positive,Family and community values,,,,,,
94995cd6-fb4f-46f9-8181-e14a0008a071,the fact that Filipinos are very hospitable and respectful to everyone.,Positive,Hospitality and kindness,Respect and politeness,,,,,
1190bff6-3e73-4ac3-a167-41868c6fbb5e,American culture is great because it includes people from all over the world melding to one big stew. ,Positive,Diversity and multiculturalism,Unity and togetherness,,,,,
1cde5c22-da0d-4c07-9f0a-21f0e5c3ced1,"Among the best things in my culture is the solidarity between people, whether in times of joy or in times of sadness...also in our culture we have great hospitality.",Positive,Family and community values,Hospitality and kindness,Unity and togetherness,,,,
9e670f41-50ce-4a2a-9130-d6a92e291753,An explains the culture and it’s importance ,Neutral,Other,,,,,,
b7bf621a-f789-4891-9fe2-ee6d484381f1,Being able to enjoy family and be a secular society,Positive,Family and community values,,,,,,
e3e9400b-72a9-44cf-a815-be0936d0c30b,"Being dutiful to parents, taking care of them and spending more time with them",Neutral,Family and community values,Respect and politeness,,,,,
a0068255-2cd5-43a6-b931-1c28450ac9c8,"Belief in life after death, diversity of genders, ethnicities, religions, and politics. Appreciation and respect for all forms of life, including the plant and animal kingdoms.",Neutral,Diversity and multiculturalism,Environmental respect and sustainability,,,,,
c5de2934-57af-468e-b022-87642a868257,Culture is always with what humans are comfortable with. ,Positive,Other,,,,,,
defe9f78-534e-4680-aad1-c11078f8959d,"Culture is the participatory reflection of a community that gives the people a sense of belonging. To me, the most valuable element of cultural identity is the collective memory",Neutral,Cultural identity and belonging,,,,,,
1a3caa7d-bf31-4ef0-b630-40d0697bd0aa,"Culture sculpts every single person, it is their whole surroundings growing up.

",Neutral,Other,,,,,,
fa3960ac-537a-493a-a090-b198aac758fa,Cultures are our identity to where we belong with. They make things more entertaining sometimes. ,Neutral,Cultural identity and belonging,Other,,,,,
7e02a4ab-80a4-476e-97dc-e611bf462370,"Family is highly valued in Muslim culture, with strong emphasis on respect for parents, family cohesion, and support for extended family members. Community life is also significant, with communal prayers, festivals, and social events playing a crucial role in maintaining social bonds and cultural identity.",Positive,Community support and cooperation,Family and community values,Religious and spiritual practices,,,,
127eec14-01b9-44b9-9d66-d6a24d95c4d2,"Family, going to church, my faith. My employment - Working in a role that helps people in the community.",Positive,Family and community values,Religious and spiritual practices,,,,,
c2046b5c-1253-4a30-bbad-ad5c86ff824b,Family. The togetherness that is there with my culture is what keeps it alive,Neutral,Family and community values,Unity and togetherness,,,,,
4045fc7a-9ed6-4e69-9749-2cd924803fae,"Food. Food not only serves as a nourishment but also holds cultural significance, tradition, flavors that brings people together.",Neutral,Food and culinary traditions,,,,,,
0527a4ed-4dea-47c5-a529-16dc8285a83f,Food. That's what brings family and friends together and how we get to know people from from different regions. Food also bears stories and meanings.,Neutral,Family and community values,Food and culinary traditions,,,,,
d9b3a4ab-7153-49e6-9de8-a20765f8d0fd,Friendliness. Even tho our culture can be overlooked with many things but everyone can agree that we are really friendly and helpful. ,Positive,Hospitality and kindness,,,,,,
52481a77-bdc3-4bb4-b92e-8ec237b5396a,How children are raised. Children are thought at an early age to respect their elders and be kind to others,Neutral,Respect and politeness,,,,,,
b513c4b5-f123-4383-a804-2cb45166dc25,"I consider my culture to be a combination of my language, traditions, and values that have been passed down through generations. My favorite aspect of it is the strong sense of community and support during important life events. Whether it’s celebrating holidays together, supporting each other through difficult times, or coming together for cultural traditions, the emphasis on community and shared experience is what I cherish most. It provides a sense of belonging and continuity, connecting me t",Neutral,Community support and cooperation,Cultural identity and belonging,Family and community values,Traditions and customs,Unity and togetherness,,
26e9cc8c-52d2-4a0a-9282-1a8f5bdae40e,I consider my culture to be quite important to me. It's what makes my identity true to myself and my family. We celebrate this culture by applying it everyday in our lives. Something Ai cannot fathom or take is human culture.,Neutral,Cultural identity and belonging,Cultural influence on personal identity,,,,,
2e7e5ae5-ef35-48da-85e7-6e214434e5d8,I consider understanding more about our stories and values,Neutral,Cultural identity and belonging,,,,,,
d03c1b9a-30fe-46ef-b5e4-4ca5186f2df3,I have a culture of kindness.,Neutral,Hospitality and kindness,,,,,,
ab5f766b-49ed-4149-8c97-b2ca1b95fa42,I love my culture. It's who I am. Respect for elders. Caring for elderly. Sharing caring. It keeps us grounded and human ,Positive,Family and community values,Hospitality and kindness,Human connection and empathy,,,,
1b409f3d-3d12-49b5-ae72-d9a625d08d25,I rate my culture highly because we uphold respect for human life.,Neutral,Moral and ethical values,Respect and politeness,,,,,
1dae338b-46e9-4e94-8c0a-27ef9623c7d0,I think the love and peace among our community is what I am happy about.,Positive,Family and community values,Hospitality and kindness,,,,,
2aee6b49-c23b-4985-9973-d6a4cb7d9409,"In my culture family is everything. We value where we were born, what we have contributed to others, our religion and our holiday traditions. Holiday memories are wonderful. ",Positive,Family and community values,Traditions and customs,,,,,
658c78ac-94ef-4aa3-a79d-7c11ecf7aecc,In our culture we respect spending more time with Families. We always mingle with families and communities together.,Neutral,Family and community values,Unity and togetherness,,,,,
db229d3f-1af8-493f-b64f-726afe5cfeb3,My cultural group (Zulu) is established on creating harmony with everyone around us and the environment.y favorite thing about it is it seeks to create a world that feels like heaven on earth.,Positive,Environmental respect and sustainability,Human connection and empathy,,,,,
b9ec9beb-23b9-4d88-9f68-34622564ee0b,"My culture is  how we treat our elders, younger ones and same age people. How we celebrate /share our joy and sorrow. How we handle difficult situations in life. How we joyful and sad we can be and support each other in such situation . How we pass on out human values from one generation to other and keep it intact.",Neutral,Family and community values,Moral and ethical values,Social norms and behaviors,,,,
c098fe21-6d9d-404b-a58f-0c6343a5cb38,"My culture is centered around the importance of community and connection. What I cherish most is our tradition of coming together with family and friends for significant celebrations. This practice not only deepens our sense of belonging but also strengthens our relationships. These shared moments of joy and support underscore the value of unity and continuity in our lives, making it a treasured aspect of my cultural identity.

",Positive,Family and community values,Festivals and celebrations,Unity and togetherness,,,,
81cc4cc8-438b-4829-97b6-9cbbac1c27a8,My culture is doing the things you love and enjoying time with family. We have limited time on Earth and we should cherish every moment we have with family and do something you enjoy. My favorite thing about it is that the time spent creates positive and exciting memories for my children that they will remember for the rest of their lives.,Positive,Family and community values,Human connection and empathy,,,,,
eab12621-7fb9-4c15-956c-6ea5dfcd305a,"My culture is warmth, emotions, sharing wisdom of generations and growing together with your family",Positive,Family and community values,Human connection and empathy,Unity and togetherness,,,,
9489ed1b-7af0-45d3-ba4c-aac7082319d0,My favourite thing about my culture is the food and the community based closeness we nurture with one another. The family system consisting of the parents and children all caring and looking after one another and also taking care of the elderly at their old age.,Positive,Family and community values,Food and culinary traditions,,,,,
2e972944-b2c1-4e74-80f0-7876986eb7f8,"Our culture is being a friendly, showing love to each other. Always smiling.",Positive,Hospitality and kindness,Human connection and empathy,,,,,
eae4f863-3870-40e2-9566-9a826a5fe1b6,Our culture is caring on diversity and standing on the peaceful manner. Our culture also believe on respect each other also for any religion.,Positive,Diversity and multiculturalism,Inclusivity and acceptance,Respect and politeness,,,,
de9cd490-a7b9-4fd1-9b01-aba8e9b9c1b6,Our culture is very strong and makes people united. We pray five times all together in every day of our life. ,Positive,Religious and spiritual practices,Unity and togetherness,,,,,
dabf23a9-220c-49f4-b830-34216b39bc56,Our togetherness as a nation and recognition and pride in our diversity.,Neutral,Diversity and multiculturalism,Unity and togetherness,,,,,
11c53abb-2fc6-4f50-9213-fada2533d871,Respect for elders and teachers is the favorite part of mine which we are gradually losing. ,Neutral,Respect and politeness,,,,,,
d6f7f01f-75ee-4551-afbe-e83aa6faca98,"Respect is a cornerstone of my culture. We value politeness, fairness, and inclusivity. We also have a deep respect for the land and its natural resources. By upholding these values, we can continue to build a strong and vibrant nation.







",Positive,Environmental respect and sustainability,Moral and ethical values,Respect and politeness,,,,
9219d0ad-e902-4881-b8c1-62b0999e92ee,"Spirituality and religion often provide a framework for values and a sense of purpose. Listening to worship music and reflecting on meaningful quotes like those from Mother Teresa offer inspiration and grounding in daily life. These practices help navigate personal and collective experiences, offering comfort and guidance.",Positive,Religious and spiritual practices,,,,,,
5997495a-36b4-4826-b429-0a5f143240bc,The community that has formed between people. How friendly and hospitable they can be.,Neutral,Family and community values,Hospitality and kindness,,,,,
70a008e9-3f7f-402c-a919-cb50fb68d943,"The food, the time spent with family, the friendships.",Positive,Family and community values,Food and culinary traditions,,,,,
6e4d5363-7b09-4245-91d7-608e3ef8c407,"The sense of community. The traditions, the food, the dance, the music, the art everything that connects the people within the community makes culture. ",Positive,"Art, music, and literature",Family and community values,Traditions and customs,,,,
cc93846e-3890-4b07-81b1-b4cf42289546,The togetherness that we have to build our society and the love with comfort that we share with comfort and more faith towards each other ,Positive,Human connection and empathy,Unity and togetherness,,,,,
4d8edc38-88ea-4133-a7a1-29ae7a04d916,"Traditional values, beliefs and customs makes a community unique and the true beauty of mankind lies in its diversity.

In my culture, we respect elders by folding hands 'Namaste'. We respect nature and worship it. So these things should be preserved and valued.",Neutral,Environmental respect and sustainability,Respect and politeness,Traditions and customs,,,,
ea1c25a6-cc6e-483d-b204-bb27f8a2a42b,"What I consider culture is a set of traditions including language, food and way of life that a group of people share. My favorite part about culture is getting to share life deeply with people I share culture with and understanding each other better.",Neutral,Cultural identity and belonging,Traditions and customs,,,,,
ac04fa16-4001-4d97-a573-9bd14e5d4e1c,like respecting elders your parents especially but also listen to the advice of the young ones too,Positive,Family and community values,Respect and politeness,,,,,
525d9604-e51b-42b3-8237-f6358f160f26,"meeting as a family once a year. It promotes togetherness and ensures our values are upheld

",Neutral,Family and community values,Unity and togetherness,,,,,
f60053e3-49f9-4ff4-95b1-be2cd6945729,"my culture is an embodiment of my nature, and nurture, and the entirety of my way of life. This is formed as a result of where i grew up, the family i come from and the environment i find myself

My cutlure is known for respecting people, especially in the way I greet and interact with others. The way I celebrate peoples wins and emphatised with others 

",Neutral,Cultural influence on personal identity,Human connection and empathy,Respect and politeness,,,,
699716ca-1546-48fb-bc78-484b2e4c6a82,"sense of community and belonginess. that is represented in food, music, traditions, customs.",Neutral,Family and community values,Food and culinary traditions,Traditions and customs,Unity and togetherness,,,
d9c569f3-ab2a-462d-bb91-81e9d5efad7e,"should make people trust their culture, respect each other feelings",Neutral,Human connection and empathy,Moral and ethical values,,,,,
662b7d4d-58a4-430b-8346-0ac51bcb9f65,"some thing that we always do as a community, i like the bond that we make in our community while carrying out our culture",Positive,Family and community values,Unity and togetherness,,,,,
c7d6fcb4-9662-4581-8ec7-3be87f92e5a4,strong family ties. seeing family members often really makes me feel relaxed and loved.,Positive,Family and community values,,,,,,
b93aa624-f10f-4c9a-a693-2277ead2d5ca,the values held dear by different people that enable them to live harmoniously,Neutral,Uninformative answer,,,,,,
88171568-e996-4ba5-8bd8-597c3cbd3033,Accepting everyone and help others like family,Positive,Hospitality and kindness,Inclusivity and acceptance,,,,,
372fee12-f789-453f-bef2-b04e8402b3f1,"American culture. I like the fact that Americans are bold and proud. They are outgoing and motivated. I love that America represents so many different people, personalities and interests and brings them together under one name. ",Positive,Cultural identity and belonging,Diversity and multiculturalism,Freedom and independence,,,,
72d7f9de-9727-400a-9548-a054a4de740c,Being grateful to almighty and thanking Him in different ways ,Positive,Religious and spiritual practices,,,,,,
4b48d4c0-540c-4c1f-9ffb-887d39311d5b,Being kind to everyone regardless of religious or political background.,Positive,Hospitality and kindness,,,,,,
3a48aa43-a28d-4b81-a23d-5f5552c3f0be,Christian culture reconciles man and God. Christian values provide a blueprint for proper living,Neutral,Moral and ethical values,Religious and spiritual practices,,,,,
955e0c9d-a6cb-4ddb-ad84-095e8941d34c,"Commitment to community and family and a sense of honor and respect are important to my cultural roots. These values ​​influence many aspects of my life and help me appreciate my cultural heritage.

My favorite thing about my culture is this commitment to community and family. Prioritizing the well-being of family and community, and valuing mutual cooperation and support are extremely important to me. This approach not only strengthens personal relationships, but also helps build a strong and united society.",Positive,Community support and cooperation,Cultural identity and belonging,Family and community values,,,,
4206bca9-7626-4afe-a799-f35a5f5f7149,"Culture encompasses the shared values, beliefs, traditions, and practices of a community or society. I think culture is incredibly rich and diverse, shaping how people interact, express themselves, and understand the world. My favorite aspect of culture is its ability to connect people through common experiences and celebrations, creating a sense of identity and belonging. The way culture evolves and blends over time, incorporating new influences while preserving traditions, fascinates me.",Neutral,Cultural evolution and change,Cultural identity and belonging,,,,,
4ca234fe-19ff-4f15-8c66-e723af95ee7f,"Culture encompasses the shared values, traditions, languages, customs, and beliefs of a group of people. It shapes individual identities and collective experiences. For many, culture is deeply intertwined with personal and community identity, influencing daily life, social interactions, and personal values.

",Neutral,Cultural identity and belonging,Traditions and customs,,,,,
48795bb0-554e-44f6-ade4-0c4d40ba2d4b,Culture is a reflection of human inner needs. I like the enduring of culture because the human spirit will last forever.,Positive,Other,,,,,,
db619bbc-f9b0-42a2-a9a2-3831fd422510,"Culture is a set of customs and traditions that form the environment surrounding a person. It is the most important thing that expresses the person, his homeland and his family. It is considered part of my self and personality.

The favorite thing about it is the friendliness of the people, their cooperation with each other and the mutual love between everyone.",Neutral,Traditions and customs,Unity and togetherness,,,,,
3fd064e2-867d-4e72-b9b0-38b9b0c91b8b,Culture is main in my country to follow to respect each other and sharing all necessary to keep me happy and satisfied ,Positive,Family and community values,Respect and politeness,,,,,
edbbcfae-682a-44aa-973a-865fa622f3e6,Culture is our inheritance and we should preserve it. ,Neutral,Cultural pride and preservation,,,,,,
52c3d1cd-acaf-48c3-aeee-b7e28fe45b8f,"Culture is the collective idiosyncrasy, together we share a territory, we speak a language, we grow up looking at the same surroundings, we have music and other expressions that we share, it is every inch of your land, how you live it together with others and you share the same feeling in relation to these experiences.",Neutral,Cultural identity and belonging,Language and communication,Other,,,,
69926edb-fa59-49f3-a952-92fcff0a75ac,"Culture refers to the ways of doing, communicating and expressing a group of people. What I like most about my culture in particular is the treatment",Neutral,Other,Social norms and behaviors,,,,,
f370762e-7dcf-4698-92fd-4264fba362f8,"Faith in God, loyalty to the nation, the supremacy of the constitution, the rule of law, and courtesy and decency",Neutral,Freedom and independence,Moral and ethical values,,,,,
6a90b964-f5ea-4eda-8208-41f3a1f1f760,Family,Neutral,Family and community values,,,,,,
b7fec123-e6b9-4ab8-b6a9-d6f2815567a4,"Family Values, Respect Elders, Treat everyone well",Positive,Family and community values,Respect and politeness,,,,,
55e31d25-77e3-4f04-969c-9b54662e980a,Family bonding ,Neutral,Family and community values,,,,,,
fecd33a2-945d-4824-adf2-96867c2e3899,Friendliness and care and hospitality for others.,Positive,Hospitality and kindness,,,,,,
08130993-a213-4943-8aca-5cd73e35e4c4,"I am all for culture and traditions because they authentically reflect the human psyche, capturing the deep experiences, values and emotions that define each community. These practices not only preserve cultural identity, but also provide a sense of continuity and belonging.",Positive,Cultural identity and belonging,Traditions and customs,,,,,
59637916-3acb-436b-96d8-13a29914124e,"I am proud of my culture. I like our history, which has a profound impact on our nation and has endowed most of our compatriots with the qualities of diligence and humility. Such qualities have enabled our culture to be passed on and carried forward, making our nation strong and making positive contributions to mankind.",Positive,Cultural pride and preservation,History and heritage,Moral and ethical values,,,,
4c5325b5-a957-4f7c-9f0c-9d41c5f7566f,"I am proud of my culture. The most important part is support. In out culture, people like to support each other.",Positive,Community support and cooperation,Cultural pride and preservation,,,,,
cddea077-1381-4504-a4f5-f0f4605c82d9,I am very happy to follow my culture and religion. It makes me a good empathetic human being.,Positive,Human connection and empathy,Religious and spiritual practices,,,,,
8be27aa6-1e25-4579-86f2-62903dd855c4,"I am very proud of my culture. My culture has a deep history, my nation has a strong sense of identity, and my culture created me. I love my culture and my country.",Positive,Cultural identity and belonging,Cultural pride and preservation,History and heritage,,,,
34198b84-e189-43a5-bcd3-69b99e2d4c2e,I believe the motivation to make a better life of ourselves is a cultural belief. It makes people work hard and society can become better,Positive,Individualism and personal values,,,,,,
8a66fbcc-43d2-4654-a7b4-2c2e1d149756,I believe we are all ourselves carrying our culture. We should respect and maintain it and I would say respecting elders is the best culture.,Neutral,Respect and politeness,,,,,,
39407023-1722-40aa-8432-e34596bcdc7f,I consider culture to be the socio-political and economic ethos of a group which a person is brought up in. It inculcates a thread of commonality and unity within the group.,Neutral,Cultural identity and belonging,Other,,,,,
37083d40-cbe1-49d2-a57b-b28d6b920938,I consider my culture as a good way to learn and help to keep good values in the community.,Positive,Family and community values,Moral and ethical values,,,,,
e7533f65-992f-4519-97a8-a74a0e39dd2d,"I consider my culture to be good as we like to sing and dance,cook good food and appreciating one another.",Positive,"Art, music, and literature",Food and culinary traditions,Traditions and customs,,,,
d208dc60-511c-44e6-abfa-6e1b5f718fd6,I consider my culture to be peace loving and values collective benefits over individual. My favorite part of it is respect for others ,Positive,Moral and ethical values,Respect and politeness,,,,,
da3c0b93-5029-416a-b00f-6c3635bd8ab9,I consider my culture to be the values I and those around me uphold such as treating people equally and respectfully regardless of their background or beliefs. ,Neutral,Moral and ethical values,Respect and politeness,,,,,
d00534bb-963c-46f0-b280-9b235a35cd83,"I feel very proud of my own culture, and I like the idea of being kind to others and respecting the elderly and loving the young the most.",Positive,Hospitality and kindness,Respect and politeness,,,,,
bccf9df5-449e-46c5-aec7-dba03fc4836e,"I like culture as a source of authenticity, as an environment in which I can express my humanity and my human feelings.",Positive,Cultural identity and belonging,Human connection and empathy,,,,,
27f07200-22bc-4816-ba76-1c35589582e9,I like culture as we go from one place to another we find difference in culture and that is beautiful,Positive,Diversity and multiculturalism,,,,,,
65174dd5-7e79-4c80-bbee-c4892b56d532,I love the unity in diversity in every culture. My culture is to treat everyone equally.,Neutral,Diversity and multiculturalism,Inclusivity and acceptance,Unity and togetherness,,,,
7d11c9f0-3c3e-4a4f-88dc-645551e2a821,I respect my culture. One aspect of our Rayalaseema area in Andhra Pradesh state culture is we help the fellow human beings when in need. ,Neutral,Community support and cooperation,,,,,,
2d3268a1-bfbc-4ff5-809a-97ba5fdd45f6,"I see my culture as a mix of my personal experiences, traditions, and values shaped by my background and community. What I love most is how it creates a sense of connection and belonging, with traditions that bring people together and make me feel a part of something larger.",Positive,Cultural identity and belonging,Family and community values,,,,,
2b40cfae-f850-4a09-9794-1cdd5d8c5e72,I think my culture is characterized by being kind and friendly.,Positive,Hospitality and kindness,,,,,,
353b9587-2b3a-4871-a43d-a51568792dfc,I think the culture of togetherness and family in our country.,Neutral,Family and community values,Unity and togetherness,,,,,
b9b3d0ed-f775-485d-ae94-4e2a38aa0647,"Joy, even in the worst moments, we always seek laughter and happiness as a way to deal with bad things and celebrate the good things.",Neutral,Human connection and empathy,,,,,,
d3aa1b2a-dc06-4540-a9d5-f8357e2ea7b8,Kindness of my country. Caring about each other.,Neutral,Hospitality and kindness,,,,,,
f725bb82-2c80-4592-9306-536504f59d16,"Making sure people are fed not starved to death , security to innocent lives ,freedom to live this is my culture , gatherings to celebrate festivals and share the joy and happiness,my favorite thing would be meeting up cousins and friends  ",Neutral,Family and community values,Festivals and celebrations,,,,,
06d9a392-a6fe-4fdc-8f03-d9bad2ddd523,"My Christianity and my place of worship.  I love worshipping with the people of my church, and talking to them after church service.  It is infigurating and give me a boost that can carry me through till our next meeting",Positive,Family and community values,Religious and spiritual practices,,,,,
fa5b87e2-76f8-4182-9abb-9c9752e193f4,My culture always bring a sense of social belonging in our society,Positive,Cultural identity and belonging,Other,,,,,
8ff3ba2f-b057-4b06-a68c-1aa89720a136,My culture defines my values and morals. It is a way of life. My favourite part about my culture is that it is accepting and inclusive. We love our culture but respect others' culture as well.,Neutral,Cultural identity and belonging,Inclusivity and acceptance,,,,,
