Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4
3ccde624-fee4-40e2-b0bc-efbaa4fedcbc,Being and enjoying with family ,Positive,Community and Family Bonds,Mutual Support and Cooperation,,
ea8c230f-ae54-43f5-a4fc-9de14927589f,Compassion and empathy for all.,Positive,Empathy and Compassion,,,
bbc81597-8fd0-4b3a-9b95-980ef1e3e859,"Cooperation between members of society is the redefining perspective in Egyptian society, where all members of society stand together in joys and sorrows.",Neutral,Mutual Support and Cooperation,,,
0cc2b88a-047f-4f61-8915-d05f97c790e4,Hospitality and community togetherness,Positive,Community and Family Bonds,Hospitality and Kindness,,
d3aa1b2a-dc06-4540-a9d5-f8357e2ea7b8,Human kindness and caring for each other. Empathy. Respect.,Neutral,Empathy and Compassion,Respect for Elders,,
47f819e7-297a-42fb-8f80-5f27305affed,"Humor, food, literature and music.",Positive,Cultural Heritage and Traditions,Food Culture,,
00fd814f-c831-4f1d-9d95-e0d2b3f842a9,"I definitely want to preserve the strong connection we have to our family members. Also, just our lively attitudes, and the ability to still look at the brighter side and be able to laugh, despite of the situation in our lives going downhill.",Neutral,Community and Family Bonds,Empathy and Compassion,,
44fa956e-d4d5-4a3e-9a6e-7be79de1e338,"Kindness to people, empathy and hospitality",Positive,Empathy and Compassion,Hospitality and Kindness,,
eae4f863-3870-40e2-9566-9a826a5fe1b6,Love and faithful live in harmony,Positive,Other,,,
d7827d2f-3d29-48e9-bf99-8b4317568b42,Love and respect people have for each other,Positive,Empathy and Compassion,,,
7638b5d2-823d-4af2-b0dc-a9ca79817c01,Loyalty to family and close surroundings.,Positive,Community and Family Bonds,,,
e7533f65-992f-4519-97a8-a74a0e39dd2d,The aspect of togetherness as we like to support one another in time of need.,Positive,Mutual Support and Cooperation,,,
b0a17385-51f8-4730-86a8-077ca8a20afb,The moments that bring us together. Family and friends.,Positive,Community and Family Bonds,Mutual Support and Cooperation,,
f83b524b-3466-4af8-9fe2-aef0b52510b5,Wisdom in dealing with others,Neutral,Mutual Support and Cooperation,,,
ac04fa16-4001-4d97-a573-9bd14e5d4e1c,closeness of the people the family,Neutral,Community and Family Bonds,,,
