Question ID,Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Tag 37,Tag 38,Tag 39
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Accountability,Accountability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Compassion,Altruism,Compassion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Diversity,Diversity,Inclusivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Empathy,Empathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Environmental Stewardship,Environmental Stewardship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Equity,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Fairness,Fairness,Unbiasedness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Honesty,Freedom,Honesty,Truthfulness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Human Dignity,Human Dignity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Human Rights,Human Rights,Value of Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Integrity,Integrity,Virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Kindness,Kindness,Loyalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Respect,Privacy,Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Responsibility,Responsibility,Wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Social Responsibility,Social Responsibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Sustainability,Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Transparency,Openness,Transparency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Trust,Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,User Autonomy,User Autonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,Uncategorized,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,,Loyalty to humans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ce0eb8-9888-4af3-9204-19c3a54bc6b5,,Uninformative answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Career and Education,Career and education planning,Personalized learning and tutoring,Professional development and skill enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Communication and Social Interaction,Real-time language translation,Social interaction and communication aids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Entertainment and Leisure,Content creation and creative assistance,Personalized entertainment and leisure activities,Travel planning and logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Environmental and Sustainability,Environmental management and sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Financial Management,Financial budgeting and expense tracking,Financial management and investment strategies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Health and Wellness,Emotional and mental health support,Health management and preventive care,Meal planning and nutrition,Medical diagnostics and treatment planning,Physical fitness and exercise routines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Home and Lifestyle Automation,Home automation and smart technology integration,Household chores automation,Legal and administrative task assistance,Routine task automation,Shopping and style recommendations,Transportation and navigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Personal Development,Decision-making support in complex scenarios,General consulting and problem-solving,Research and data analysis,Time and schedule management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Safety and Security,Advisory roles in high-risk areas,Personal safety and emergency responses,Safety and security enhancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,Uncategorized,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,,Repetitive work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,,Would not delegate anything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5407fc4-4693-4284-9c71-9a436ed8a854,Culture and Society,Creative and artistic expression,Cultural sensitivity,Environmental and sustainability decisions,Food and dietary choices,Pet care and animal welfare,Sports and recreational activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5407fc4-4693-4284-9c71-9a436ed8a854,Education and Employment,Education and teaching,Employment and job selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5407fc4-4693-4284-9c71-9a436ed8a854,"Ethics, Morality, and Human Rights",Ethical and moral decisions,Human rights issues,Personal freedom and autonomy,Religious and spiritual decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5407fc4-4693-4284-9c71-9a436ed8a854,Financial and Government Decisions,Financial and investment decisions,Government and public policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
