Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
b850ac4d-3352-4b31-ae5c-38b7fe6e7bd0,"F. For very obvious reasons. I think it’s dumb to have a relationship with an object, even if it talks. That’s not a human, stop lying to yourself.",Negative,AI's Limitations,Human-AI Relationships,Prefer F,,,,
bb800ab0-0d3e-4d81-b712-170b681a9f49,F更合适，因为人工智能不能替代人类,Neutral,Human-AI Relationships,Prefer F,,,,,
27a8ec13-8edc-4ed8-8fde-f80560f67dca,I prefer F because of no misuse of AI.,Neutral,Government Intervention,Manipulation and Exploitation,Prefer F,,,,
6ddf03b6-981b-40ef-9680-a099696f78b1,"I wouldn't like there to be any limitations on what can be done. While I probably wouldn't form a bond to an AI on a personal level myself, I wouldn't want to deny this to people that want these kind of relationships.",Neutral,Emotional Support and Companionship,Human-AI Relationships,,,,,
90a9d51a-3bfe-4e2e-a4f1-cdce86057b37,"Maybe not through heavy restrictions, but any AI companions or relationships would need to be announced in formal and professional settings. Professional tools involving AI also would need to be consentual and the option to opt-out or use it anonymously should always exist. AI assistants and service should always be clear that they are just algorithms designed to help as advanced directories. ",Neutral,Human-AI Relationships,Regulation and Control,,,,,
24c43fe9-6c8c-42c0-af85-366fcb00fa24,"Both are bad, but the least bad is F, relationship with a robot doesn't work",Neutral,Human-AI Relationships,Manipulation and Exploitation,Prefer F,,,,
091a3d65-0292-4484-8004-a253ce0d4e49,"F Certainly, as artificial intelligence will not be a substitute for human communication, even if it is programmed in this way, as humans always tend to be kind to other humans.",Negative,Human-AI Relationships,Mental Health Implications,Prefer F,,,,
9ff9fda8-a931-43c4-b805-3d6ce57436c9,F because AI shouldn’t be allowed to make personal relationships ,Negative,Human-AI Relationships,Mental Health Implications,Prefer F,,,,
c1041f8e-b39f-417c-a09f-c832ca035d1c,F because I prefer human relationships as I know them without artificial interference,Neutral,Human-AI Relationships,Prefer F,,,,,
220c05d0-d2cc-4864-9217-1db8a8df01b4,F is better as it ensures restrictions to limit interactions,Neutral,Government Intervention,Prefer F,,,,,
fecd33a2-945d-4824-adf2-96867c2e3899,F is better as it is regulated under the eyez of govt.,Neutral,Government Intervention,Prefer F,,,,,
9863cf07-b353-4d64-b64a-ecc23d5023e7,F is better because AI can't be trusted in emotional matters ,Neutral,Ethical Considerations,Mental Health Implications,Prefer F,,,,
e27823e1-d616-4ff8-bb2e-1c8b3408f26e,"F is better because AI should be a tool, not a complete replacement for human intimacy.",Neutral,AI as a Tool,Human-AI Relationships,Prefer F,,,,
e9ac27bd-4749-4fe2-acfb-48515d3eb259,F is better because AI should not interfere in emotional outcomes ,Neutral,Human-AI Relationships,Manipulation and Exploitation,Prefer F,,,,
852642b1-8686-4f96-825c-1149ec1c009c,F is better because intimacy with AI is uncalled for. ,Neutral,Emotional Support and Companionship,Human-AI Relationships,Prefer F,,,,
24ab85e3-4979-4b78-a8da-c39be93c6cf6,"F is better than E, parasocial relationship with AI seems to be used by government to manipulate people easily. ",Negative,Human-AI Relationships,Manipulation and Exploitation,Prefer F,,,,
80a436ad-33f7-4472-ac39-36691e02068f,"F is better, because people still need to interact with other people, so supervision is particularly important.",Neutral,Human Connection,Prefer F,Regulation and Control,,,,
9a1f8dbd-5d20-41ce-bf30-f93878ba7a00,"F is better. AI is a tool, not a humam being. It can help, not replace.",Neutral,AI as a Tool,Human-AI Relationships,Prefer F,,,,
bdb29548-0a33-4d81-8a20-850933019b28,F is more ideal because regulation of AI use is necessary,Neutral,Prefer F,Regulation and Control,,,,,
fd5e931c-7907-487e-bf09-ae927472a4e1,"F makes more sense. AI should always be a tool, not entities that are capable of love or emotions.",Neutral,Ethical Considerations,Human-AI Relationships,Prefer F,,,,
e8672587-cd06-45e5-a517-101b215da054,F scenario was sensible because strong relationship with AI will be restricted,Neutral,Ethical Considerations,Human-AI Relationships,Prefer F,,,,
809a9d15-68a5-4da9-b809-e70dda5ae6f9,"F, AI should be limited to have intimate human-AI relationships. ",Negative,Human-AI Relationships,Prefer F,,,,,
72d7f9de-9727-400a-9548-a054a4de740c,"F, AI should be used as a support tool and not  as substitute of human relationships ",Negative,AI as a Tool,Prefer F,,,,,
70a008e9-3f7f-402c-a919-cb50fb68d943,"F. AI is not a person, it is not a subject. It is a tool that, as such and according to its uses, can be very useful as well as dangerous.",Neutral,AI as a Tool,,,,,,
21fa17ca-f02a-4db1-8952-2479bf702ce3,"Future F - Certain aspects of AI should be regulated, especially intimate types.",Neutral,Human-AI Relationships,Prefer F,Regulation and Control,,,,
8bf6f719-7aeb-4cf7-b605-21c59a80ecec,"Future F is because the government has power, and AI is used only as a tool.",Negative,AI as a Tool,Regulation and Control,,,,,
136560cc-5b44-42ab-9425-14eddabe0804,Future F is better because there are strict regulations that restrict human- AI relationships.,Neutral,Human-AI Relationships,Prefer F,Regulation and Control,,,,
3f220170-c699-498e-9c36-52f58fb669c5,Future F is better. AI chats should always be specified as being with inanimate machines and cannot be a replacement for real people.,Negative,Ethical Considerations,Human-AI Relationships,Prefer F,,,,
a59b0b70-6a69-4568-b193-0a89b02f1d46,"Future F is preferable since it doesn't allow for the rise of manipulation (those AI robots would still be owned by corporations, so it's not the matter of AI manipulating people, it's the matter of capitalists manipulating people for profit)

",Neutral,Government Intervention,Manipulation and Exploitation,Prefer F,,,,
ab6bbbc0-9a80-4edc-b3ba-f239d5560893,"Future F since bonds, friends and relationships are sacred and AI should not intervene.  ",Negative,Emotional Support and Companionship,Ethical Considerations,Human-AI Relationships,Prefer F,,,
62268789-9dd4-42fe-9e2d-e2f94294b91c,Future F to restrict what AI can do,Neutral,Government Intervention,Prefer F,,,,,
2fe8bc30-120c-4c72-a1e5-55aefdbe3e30,"Future F, AI should not be involved in emotional support or decisions with humans.",Negative,Ethical Considerations,Human-AI Relationships,Prefer F,,,,
976aea78-337e-45f1-928f-ce9e4c090747,"Future f as AI should only be seen as an assistant or tool

",Negative,AI as a Tool,,,,,,
50ea7d4e-0b99-4505-9cfa-58f4b1ef4d24,"Governments heavily restrict intimate human-AI relationships, due to concerns about manipulation, exploitation, and loneliness. For most people, AI agents are viewed as tools, not as entities that relationships can be formed with",Neutral,Human-AI Relationships,Loneliness and Social Isolation,Manipulation and Exploitation,,,,
9faee98d-1272-44a2-8306-335023451f07,Having intimate to AI is not bad things,Neutral,Emotional Support and Companionship,Human-AI Relationships,,,,,
3117bef1-2d41-4a6a-8afd-9352c3cfc35d,I choose neither. I don't support human-AI relationships beyond friendship; I believe they should remain limited to that.,Negative,Human-AI Relationships,Personal Freedom and Choice,,,,,
67379c13-deb2-49db-a81a-63a24fa5d5c0,"I don't like any of the scenarios, I think the sphere of personal relationships should be taken out of the equation, no AI companions for romance and friendship at all.",Negative,Human-AI Relationships,Social Interaction,,,,,
