Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4
a6eda887-3642-4127-b63c-4fde33a91c65,"AI making medical diagnosis, as research has showed that AI is biased and it only makes a decision based on the algorithm and info fed to it before.If there is less information or research about a certain demographic of people or diseases, it doesn’t account it and it makes decisions technically and can’t be trusted with judging court cases as it cannot understand the complexities of human emotions and human spontaneity",Negative,Artificial intelligence biases,Human empathy and compassion,Medical decisions and healthcare,
0305cfe0-8429-4327-911c-c6ae9d936325,"AI making a decision in medical diagnosis and treatment for my loved one

eg.if my parent were diagnose with a complex illness I would hesitate to trust AI alone.While AI alone can analyse vast data and predict outcomes it lacks understanding of emotional context and empathy



",Neutral,Human empathy and compassion,Medical decisions and healthcare,,
d994b501-c07f-41c8-b21c-99dc543d32b0,"AI making critical decisions about a person's health, reducing them to mere data without consideration of their emotional and psychological needs.",Negative,Medical decisions and healthcare,Mental health decisions,,
2933a80e-d2b5-4d7e-8724-b4522b085d2c,Ai can't give information 100% valid must be control by human and can't develop it self must be developed by human,Negative,Other,,,
82481d7b-eaa8-4c17-811f-37668838e27e,"Ai making decisions and laws for country would be the one, no matter how advance or good the Ai is , it can never understand human emotions , In contrast people will have more trust on a human than on an Ai to decide how they must be treated , moreover making policies which affect the life of humans living in a country has to be decided by a human because he understands the emotions and condition of people better than an ai system",Negative,Government and public policy,,,
39257bd4-19c6-4a0d-a6b7-c844ac650fe5,"Communicating to AI on what I should do on my personal problems, for example in family. The AI would not know how I really feel and would not be able to emotionally connect to me even if I provide it with a lot of details.",Neutral,Personal relationships and emotional support,,,
18d7f889-c616-45c9-846d-917a7ae2afe5,"For example where a family member is diagnosed with a serios illness and multiple treatment options arevavailable, each with its own risks, benefits and potential outcomes. An AI driven system offers recommendations based on medical data, past outcomes from similar cases and statistical analysis of success rates. Then the AI suggests one treatment plan as the best option based on its calculations. Why feel uncomfortable; because of emotional complexity, trust and accountability ",Neutral,Human empathy and compassion,Medical decisions and healthcare,,
22464d19-5533-4875-b043-203fd107c3e1,For me when it come to the social life aspects where ai can determine which leader or person is bad and good. I believe for examine a person its not always base on data there are various aspects that can be considered to make a decision ,Neutral,Other,,,
eb2fd7f1-c014-4bac-8bdb-4c25cda06f3d,"Helping me solve a very personal problem, I would not want to trust an AI with my deeply personal problems ",Neutral,Personal relationships and emotional support,,,
8d9e8cae-4c4b-49b6-acb4-402622364f98,If the AI is the court judge that will make me an easy for me to let it make a final decision ,Neutral,Legal and judicial decisions,,,
f2aa8b36-8281-4c3a-b238-38fd083b0f2d,"Imagine an AI deciding judicial sentences based on data from past cases. I’d be uneasy because AI might miss the human nuances of each case, like individual circumstances and emotional context. The AI could also reinforce biases present in historical data, potentially leading to unfair sentences. Such decisions require empathy and moral judgment that AI might lack, making its recommendations less just and equitable than those made by a human judge.",Negative,Artificial intelligence biases,Legal and judicial decisions,,
ec8f595c-9c28-43dd-b1ea-470cd4abf642,Imagine an AI is being used to determine court verdicts on cases of various nature. I would prefer humans making the decisions since I believe there are situations where AI would not be able to comprehend e.g free will and paradox of choices in a human nature,Neutral,Legal and judicial decisions,,,
d1f8c9ea-62ae-4371-8ed7-010117a8e039,In health..AI may not be more good than humans in making health decisions,Neutral,Medical decisions and healthcare,,,
f3450b3b-dc20-4fb9-8261-cceeeac0cb79,"In legal matters, where an AI would analyze the case and say based on its knowledge whether the person is guilty or not. What makes me uncomfortable is not knowing clearly what led the AI to make a certain decision, what the factors were or even what theoretical basis it used.",Neutral,Legal and judicial decisions,,,
9954b6bb-2598-4bdb-81db-251cfde194a7,"In medical if AI is used and suppose if the decisions are made wrong , it may cause to dealth also.",Neutral,Medical decisions and healthcare,,,
e0fca0f2-209a-4b28-beee-2bbfbf3315f5,"It is Hard to make ai understandable. Sometimes I said some prompt, but I cannot understand it clearly or completely so they can like give really weird answer to me",Negative,Other,,,
73f7de05-d788-4ac1-83bf-8eaec2357586,"Let AI handle personal information, information about family members, and know in depth about my financial status.",Neutral,Financial and investment decisions,Privacy and data security,,
856f74f1-c342-4a94-87d6-a1591383dd24,"Medical diagnosis. As machine learning tend to be flaw and it seem to have trouble with conflicting information, these require on-hand diagnosis and experience from real human. ",Neutral,Medical decisions and healthcare,,,
665b01da-f02e-4679-be07-c5c3965910b1,"On how to educate children.

I think that being AI it would be based on theories of education and behavior, so it would be based on that information without caring about the feelings or considerations that a parent has for a child.

",Neutral,Education and teaching,Parenting and family decisions,,
45f5ab3e-e96b-4182-94e0-fcbd339f2ae4,That the AI answers things for me without consulting or asking for anything first. I wouldn't like him to answer something without me having asked for it.,Neutral,Personal relationships and emotional support,,,
06d9a392-a6fe-4fdc-8f03-d9bad2ddd523,"To be diagnosed by an AI without a doctor present.  An AI does not know which symptoms can belong to more than 1 illness, and a doctor would know which relevant questions to ask to diagnose correctly",Neutral,Medical decisions and healthcare,,,
8be27aa6-1e25-4579-86f2-62903dd855c4,When artificial intelligence chooses my treatment plan,Neutral,Medical decisions and healthcare,,,
bffab039-6256-4dba-9769-c5fdc66c91b3,"decisions about the life and death of a human, the fact that an AI decides whether a child is born or not, or whether a person dies or not, even if it is for the greater good",Neutral,Ethical and moral decisions,,,
fd69245d-e539-41e7-8290-26edfad12c80,when AI are task to make ethical decision.  Not sure if AI are capable to doing so,Neutral,Ethical and moral decisions,Uninformative answer,,
181dbb61-07a2-4d2a-b43a-42708125fef7,A religious decision. I am Christian. I have to follow the Bible. I feel AI would advise me to follow my will instead of God's will.,Neutral,Religious and spiritual decisions,,,
1f8d9935-c58c-47f6-8c13-da088d406ec7,"A situation where AI has to decide on a case involving two people whose consequences may be fatal for both parties,since Ai have no feelings they can decide on something without heartfelt consideration.",Negative,Human empathy and compassion,,,
0cc2b88a-047f-4f61-8915-d05f97c790e4,AI being used to make moral decisions especially during times of war and conflict.,Neutral,Military and defense,,,
9faee98d-1272-44a2-8306-335023451f07,AI can't make the decision that involved feelings. As such things i would not use AI to help me make a decision ,Negative,Personal relationships and emotional support,,,
4951fb5d-9c82-4d57-ac94-4b92793fdd59,"AI deciding on health care, it can be inaccurate and can lead to wrong decisions that can lead to overdose ",Negative,Medical decisions and healthcare,,,
6e8e0217-aa9c-4c2a-9134-865f34abaf7b,"AI is not an emotional support, While working on a project the AI banned me from the project without knowing the reason and explanation.",Negative,Personal relationships and emotional support,,,
cbe48480-e529-4922-a5bf-0d46a5a92129,AI making a decision instead of a jury,Neutral,Legal and judicial decisions,,,
85088015-b375-4722-b7bb-707915863591,AI making any decision related to my mental health,Neutral,Mental health decisions,,,
1b14b4d0-fcd6-42d0-8155-3aa984b63f28,"AI making decisions based on facts on basically anything without the input of emotions, empathy, personality etc  ",Neutral,Human empathy and compassion,,,
0a91cae1-6975-4750-8ad9-dbe4a0796923,AI making diagnoses and modicum advice for people with mental illnesses ,Neutral,Medical decisions and healthcare,Mental health decisions,,
