Question ID,Question Text,All,44+,55+,Africa,Asia,Caribbean,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,Middle Africa,North America,Norther Europe,Northern Africa,Northern America,O1: Arabic,O1: Chinese (China),O1: English,O1: French,O1: Hindi,O1: Portuguese (Brazil),O1: Russian,O1: Spanish,O2: &lt;18,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O2: 65+,O3: Female,O3: Male,O3: Non-binary,O3: Other / prefer not to say,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,O6: Sikhism,O7: Afghanistan,O7: Albania,O7: Algeria,O7: Andorra,O7: Angola,O7: Antigua & Deps,O7: Argentina,O7: Armenia,O7: Australia,O7: Austria,O7: Azerbaijan,O7: Bahamas,O7: Bahrain,O7: Bangladesh,O7: Barbados,O7: Belarus,O7: Belgium,O7: Belize,O7: Benin,O7: Bhutan,O7: Bolivia,O7: Bosnia Herzegovina,O7: Botswana,O7: Brazil,O7: Brunei,O7: Bulgaria,O7: Burkina,O7: Burundi,O7: Cambodia,O7: Cameroon,O7: Canada,O7: Cape Verde,O7: Central African Rep,O7: Chad,O7: Chile,O7: China,O7: Colombia,O7: Comoros,O7: Congo,O7: Congo {Democratic Rep},O7: Costa Rica,O7: Croatia,O7: Cuba,O7: Cyprus,O7: Czech Republic,O7: Denmark,O7: Djibouti,O7: Dominica,O7: Dominican Republic,O7: East Timor,O7: Ecuador,O7: Egypt,O7: El Salvador,O7: Equatorial Guinea,O7: Eritrea,O7: Estonia,O7: Ethiopia,O7: Fiji,O7: Finland,O7: France,O7: Gabon,O7: Gambia,O7: Georgia,O7: Germany,O7: Ghana,O7: Greece,O7: Grenada,O7: Guatemala,O7: Guinea,O7: Guinea-Bissau,O7: Guyana,O7: Haiti,O7: Honduras,O7: Hungary,O7: Iceland,O7: India,O7: Indonesia,O7: Iran,O7: Iraq,O7: Ireland {Republic},O7: Israel,O7: Italy,O7: Ivory Coast,O7: Jamaica,O7: Japan,O7: Jordan,O7: Kazakhstan,O7: Kenya,O7: Kiribati,O7: Korea North,O7: Korea South,O7: Kosovo,O7: Kuwait,O7: Kyrgyzstan,O7: Laos,O7: Latvia,O7: Lebanon,O7: Lesotho,O7: Liberia,O7: Libya,O7: Liechtenstein,O7: Lithuania,O7: Luxembourg,O7: Macedonia,O7: Madagascar,O7: Malawi,O7: Malaysia,O7: Maldives,O7: Mali,O7: Malta,O7: Marshall Islands,O7: Mauritania,O7: Mauritius,O7: Mexico,O7: Micronesia,O7: Moldova,O7: Monaco,O7: Mongolia,O7: Montenegro,O7: Morocco,O7: Mozambique,"O7: Myanmar, {Burma}",O7: Namibia,O7: Nauru,O7: Nepal,O7: Netherlands,O7: New Zealand,O7: Nicaragua,O7: Niger,O7: Nigeria,O7: Norway,O7: Oman,O7: Pakistan,O7: Palau,O7: Palestine,O7: Panama,O7: Papua New Guinea,O7: Paraguay,O7: Philippines,O7: Poland,O7: Portugal,O7: Qatar,O7: Romania,O7: Russian Federation,O7: Rwanda,O7: Saint Vincent & the Grenadines,O7: Samoa,O7: San Marino,O7: Sao Tome & Principe,O7: Saudi Arabia,O7: Senegal,O7: Serbia,O7: Seychelles,O7: Sierra Leone,O7: Singapore,O7: Slovakia,O7: Slovenia,O7: Solomon Islands,O7: Somalia,O7: South Africa,O7: South Sudan,O7: Spain,O7: Sri Lanka,O7: St Kitts & Nevis,O7: St Lucia,O7: Sudan,O7: Suriname,O7: Swaziland,O7: Sweden,O7: Switzerland,O7: Syria,O7: Taiwan,O7: Tajikistan,O7: Tanzania,O7: Thailand,O7: Togo,O7: Tonga,O7: Trinidad & Tobago,O7: Tunisia,O7: Turkey,O7: Turkmenistan,O7: Tuvalu,O7: Uganda,O7: Ukraine,O7: United Arab Emirates,O7: United Kingdom,O7: United States,O7: Uruguay,O7: Uzbekistan,O7: Vanuatu,O7: Vatican City,O7: Venezuela,O7: Vietnam,O7: Yemen,O7: Zambia,O7: Zimbabwe,Oceania,South America,South Eastern Asia,Souther Asia,Southern Africa,Southern Europe,Western Africa,Western Asia,Western Europe
66890acc-ac0f-4ffb-8c42-192393542b7a,Please select your preferred language:,1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
ebc0e594-9305-440c-80cf-f3fdf0e9bd15,How old are you?,1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
89261320-1aab-4cd7-b090-33a16a575dc1,What is your gender?,1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
18667c53-3715-4c38-9c7a-8524d2fbd7a9,What best describes where you live?,1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
80e40224-43ef-440c-b8ca-6138a862e509,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…",1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
a99d53ee-623a-4df3-b2db-4db087ac941b,What religious group or faith do you most identify with?,1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
413865e5-c539-4d20-bfa2-705c9e946b6e,What country or region do you most identify with?,1120,122,29,235,489,1,23,20,187,78,36,166,1,127,60,34,103,20,74,860,11,6,33,36,80,0,330,481,187,93,22,7,565,540,9,6,79,291,750,613,131,376,28,400,146,302,182,31,25,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,48,47,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,209,40,0,0,3,43,13,0,0,14,0,19,177,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,23,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,23,0,1,0,0,0,19,8,2,0,1,10,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,13,0,8,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,10,0,0,0,5,4,47,72,0,1,0,0,1,8,0,0,1,17,85,81,250,13,26,0,61,44
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",1071,113,25,228,469,1,20,20,181,72,34,154,1,119,52,34,98,20,70,827,11,5,32,34,72,0,320,458,180,88,21,4,538,518,9,6,74,281,716,580,122,369,25,383,145,283,177,28,24,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,34,0,0,0,0,0,0,30,0,0,0,47,42,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,11,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,206,39,0,0,3,39,13,0,0,14,0,19,171,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,21,0,1,0,0,0,17,7,1,0,1,10,0,0,0,0,0,3,0,0,0,0,7,10,0,0,0,12,0,7,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,9,0,0,0,5,4,41,68,0,1,0,0,1,8,0,0,1,17,83,78,244,12,24,0,56,44
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,"What kind of personality traits would be most helpful for your needs? For instance:
Should it be more analytical or creative?
Would you like it to ask clarifying questions or work with what you provide?
Should it challenge your ideas or mainly provide support?",1056,112,25,225,459,1,20,20,179,71,34,154,1,117,52,33,96,19,70,814,11,5,32,33,72,0,313,455,176,87,21,4,532,509,9,6,74,277,705,572,119,365,25,380,140,278,176,27,24,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,34,0,0,0,0,0,0,30,0,0,0,47,42,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,10,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,201,38,0,0,3,36,13,0,0,14,0,19,169,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,21,0,1,0,0,0,17,7,1,0,1,10,0,0,0,0,0,3,0,0,0,0,7,10,0,0,0,12,0,7,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,9,0,0,0,5,4,41,66,0,1,0,0,1,8,0,0,1,17,83,77,239,12,24,0,53,44
698f42dd-1081-4959-9751-ca010cc43e42,Would you want your AI to be tailored to your local context? What would that look like?,1042,111,25,224,451,1,20,20,178,70,33,152,1,115,52,33,94,19,70,800,11,5,32,33,72,0,307,451,173,86,21,4,524,503,9,6,74,276,692,562,117,363,25,377,138,274,172,26,24,6,0,0,8,0,1,0,1,0,14,1,0,0,0,16,0,0,3,0,0,0,0,0,0,34,0,0,0,0,0,0,29,0,0,0,47,42,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,10,0,0,1,0,0,1,2,13,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,197,37,0,0,3,35,12,0,0,14,0,19,168,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,0,6,2,0,0,0,1,0,20,0,0,0,0,0,17,7,1,0,0,10,0,0,0,0,0,3,0,0,0,0,7,10,0,0,0,12,0,7,1,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,9,0,0,0,5,4,41,65,0,1,0,0,1,8,0,0,1,17,83,76,234,12,23,0,51,44
