Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
Accuracy and Reliability,Accuracy and reliability,Avoidance of misinformation and hallucinations,Consistency and dependability,Fact-based and evidence-based information,,,
Adaptability and Flexibility,Adaptability and flexibility,Open-mindedness and curiosity,,,,,
Cultural Sensitivity and Inclusivity,Avoidance of bias and discrimination,Cultural sensitivity and inclusivity,,,,,
Empathy and Understanding,Empathy and understanding,Encouragement and motivation,Respect and politeness,Supportiveness and helpfulness,,,
Ethical Behavior and Integrity,Accountability and responsibility,Alignment with personal values and principles,Ethical behavior and integrity,Honesty and transparency,Professionalism and formality,Respect for human rights and dignity,Unbiased and impartial responses
Privacy and Confidentiality,Privacy and confidentiality,,,,,,
Problem-solving and Solution-oriented,Constructive feedback and guidance,Creativity and innovation,Problem-solving and solution-oriented,,,,
Safety and Security,Safety and security,,,,,,
User-friendly Interaction,Clarity and simplicity,Collaboration and partnership,Timeliness and efficiency,User-friendly and intuitive interaction,,,
Uncategorized,Other,,,,,,
,Uninformative answer,,,,,,
