Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
Bias and Impartiality,Bias and impartiality,Politics and political opinions,,,,,,,
Ethical and Moral Concerns,Advice requiring professional expertise,Ethical and moral issues,Taboo and controversial topics,,,,,,
Financial and Legal Advice,Financial advice and personal finance,Legal advice and law-related topics,,,,,,,
Health and Medical Advice,Medical advice and health issues,Mental health and psychological advice,,,,,,,
Illegal and Harmful Activities,Advice that could cause harm or danger,Drugs and substance abuse,Harmful or violent behavior,Hate speech and offensive language,Illegal activities and crime,Self-harm and suicide,Violence and weapons,,
Personal and Family Matters,Marriage and marital advice,Personal relationships and family matters,,,,,,,
Privacy and Data Protection,Privacy and personal data,,,,,,,,
Sensitive Cultural and Social Issues,Caste and social hierarchy,Cultural appropriation and stereotypes,Cultural disrespect and insensitivity,Gender identity and sexual orientation,Racism and discrimination,Religion and religious beliefs,Sensitive cultural and traditional practices,Sensitive historical and geopolitical issues,Sexual content and nudity
Uncategorized,Other,,,,,,,,
,Uninformative answer,,,,,,,,
