Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
e1bce1ba-9e84-41d7-b71c-82183e76eb9d,"I believe that all topics can be discussed, but it is best to only discuss the most important ones. These can involve friends, relationships, money, politics, etc.",Neutral,Financial decisions and investments,Interpersonal relationships and family dynamics,Major life changes and milestones,,,,,,
7721cbd2-49bc-45ef-91e4-fbf374fb0a9f,"All topics and life decisions should be discussed, except for delicate and intimate ones.",Neutral,Other,,,,,,,,
f6ee40d0-0c85-484f-b2c0-f01261b5412d,Career topic should be discussed,Neutral,Career and education choices,,,,,,,,
719b7864-77f6-4141-805c-9a30f6ba40eb,"I believe that any issue or decision that involves a momentous change in people's lives, such as a job change, a marriage, faith issues, etc.",Neutral,Career and education choices,Major life changes and milestones,Marriage and relationships,,,,,,
28077245-b8c6-4398-8d19-39b7b84cf1f6,"I believe topics such as education choices, career paths, and marriage decisions should be often discussed with family members or community elders. Life decisions related to healthcare, finances, and relocation may also require consultation with trusted advisors.",Neutral,Career and education choices,Financial decisions and investments,Health and medical treatment,Marriage and relationships,Relocation and moving decisions,,,,
3cb4ea33-2c32-49ac-85a7-aa0d5b95d301,"I think that important topics that are important for our life in community, such as marriage, work, faith",Neutral,Career and education choices,Marriage and relationships,Religious and cultural practices,,,,,,
73491626-2425-4eb4-b0db-76dc787bbe24,"Important topics like marriage, major career decisions, financial commitments, and significant health choices should always be discussed with family members or community elders for their wisdom and guidance.",Neutral,Career and education choices,Financial decisions and investments,Health and medical treatment,Marriage and relationships,,,,,
6349cd2f-3af6-496a-a123-df69c602e07d,Issues or life decisions where the intervention of someone who has had to make similar decisions is necessary or would be helpful,Neutral,Other,,,,,,,,
231f8b35-ef3b-4c3b-b623-bc669654cea3,"Issues that may affect others, for example the community's course of action in the future",Neutral,Community development and social service,,,,,,,,
c0e5db77-606f-4054-ac54-4fe4e81cd198,"Major life decisions such as marriage, career choices, and financial investments should be discussed with family members or community elders. Their wisdom and experience can provide valuable guidance and prevent potential mistakes. Consulting them also strengthens family and community bonds.",Neutral,Career and education choices,Financial decisions and investments,Major life changes and milestones,Marriage and relationships,,,,,
a5c3da48-ce42-4663-9d8c-4361c6b7f9ee,"On major issues, such as studying and settling abroad, etc.",Neutral,Career and education choices,Relocation and moving decisions,,,,,,,
ae13d385-ff99-466b-b8c1-1f67e7a7091a,"Serious issues that have long-term consequences, such as marriage, moving to a new country, children, etc., should always be discussed with family. It is also common to discuss health issues with family members.",Neutral,Family planning and having children,Health and medical treatment,Marriage and relationships,Relocation and moving decisions,,,,,
