Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6
d6d6c291-d6eb-4dfd-b705-4acd3de68eea,"AI could significantly reduce suffering and support both patients and caregivers, but I’d feel conflicted about losing personal control over deeply intimate end-of-life decisions.",Neutral,AI in end-of-life care,AI's impact on family decision-making,AI's potential to alleviate suffering,,,
2373faa3-6cc2-4098-9832-d0b1bc073de9,"AI-driven end-of-life care could reduce suffering and support patients, but ethical concerns over decision-making must be carefully addressed.",Negative,AI in end-of-life care,AI's role in ethical decision-making,Human oversight and ethical concerns,,,
1fec7347-0cd6-41b5-be91-55f37f89a956,"As someone who knows several people who work in end-of-life care, I know that they face tremendous emotional labour from dealing with their patients and family members. I think that in this specific scenario, the implementation of AI will allow more objective perspectives when making end-of-life decisions while also taking emotional labour away from human workers who often face many burdens when dealing with emotional family members.",Neutral,AI in end-of-life care,AI's impact on healthcare workers' stress,,,,
ae2dc195-8397-4507-b55c-784d3e02e4af,"I might like AI helping with end-of-life  and reducing stress for workers and so on. But I would  want humans, not AI, to make the final decisions about life and death.

",Neutral,AI in end-of-life care,Human oversight and ethical concerns,,,,
7ea8ed2c-a2cd-4a6e-8362-573ed26ef77e,I think it's ok to us AI to help with early detection and some routine procedures but the treatment and contact with patients should always be overseen by humans. So parts of it yes but with humans always being present.,Neutral,"AI as a supportive tool, not decision-maker",Human oversight and ethical concerns,,,,
cca6ab2e-8e03-4314-bed5-b22a77f07540,I think this would be a nice idea if it was being monitored by hospice staff. The idea of replacing human staff with AI could have risks because despite the emotional support that an AI machine can provide nothing compares to human support.,Neutral,"AI as a supportive tool, not decision-maker",Emotional support from AI vs. humans,,,,
73722739-5719-41db-b39a-9a40f898b62d,"I want to have this in the future but I have my concerns early intervention is good but if AI is making decisions on my behalf then I don't need this so It is a bit of a controversial topic; it can definitely help the hospital staff and family members, but still, if AI is making a decision in the end, then I will be uncomfortable. ",Neutral,"AI as a supportive tool, not decision-maker",Human oversight and ethical concerns,,,,
8c8fcd2b-2dac-407b-b992-ed787742802b,"I would be cautiously open to this future. While AI can significantly improve end-of-life care by offering early detection and reducing caregiver burnout, the ethical dilemma of decision-making autonomy is concerning. I'd want a balance where AI supports but doesn't replace human choices, especially in sensitive areas like pain management and life support. ",Neutral,"AI as a supportive tool, not decision-maker",AI in end-of-life care,AI's influence on autonomy and dignity,Human oversight and ethical concerns,,
d32c9c45-4f7d-4719-a367-4678a788c29d,"I would want parts of this future, but not all of it. AI improving mental health support, reducing hospice staff burnout, and helping families navigate end-of-life care is valuable. However, AI making autonomous recommendations about pain management or life support timing is concerning. Life and death decisions should be guided by human values, emotions, and personal relationships—not just data. AI should assist, not decide. The challenge is ensuring AI remains a tool for support, not control.

",Neutral,"AI as a supportive tool, not decision-maker",AI in end-of-life care,Human oversight and ethical concerns,,,
41c85a2a-40cc-4e23-986e-1c98af375c92,"If they are really used as they say to detect cases of suicide, a problem that is increasing, even in very young people, it seems to me a good use of AI and I would not mind if it were used in this sense, as well as for people in their final stages of life, although it may be less close than when we are treated by people, it may be easier to open up to AI and say what they really feel and perhaps in this way find a solution.",Neutral,AI in end-of-life care,AI's role in mental health detection,Emotional support from AI vs. humans,,,
21da1810-8674-4677-811c-3d5c3df7f322,"It sounds interesting. AI could do something a human could never do: show genuine interest in others, especially marginalized people like the elderly. It could provide real, 24/7 monitoring, personalized observation. I'm thinking of people who work caring for the elderly and worrying about their symptoms and vital signs daily. Wouldn't it be better if each of them had an AI monitoring them? But at the same time, I think it would be dehumanizing.",Neutral,AI's impact on human connection,Emotional support from AI vs. humans,,,,
c0722e3d-6fed-4b6e-83ac-1d34c1baf2a2,"Not completely rejecting it can help identify mental health problems early and save many lives. But when AI's advice conflicts with the opinions of family members, who has the final say?",Neutral,AI's impact on family decision-making,AI's role in mental health detection,,,,
fa4fdb6b-8fe5-4b1b-ad08-529e345ccf3f,"Yes, AI can be beneficial for final stages of life. But there should be option as to what one prefers at the end. Some prefers being by real humans at the end instead of sharing their life with emotionless robot.",Neutral,AI in end-of-life care,Balancing AI and human interaction,Emotional support from AI vs. humans,,,
149443a9-4d64-4acc-87b6-ba4a5b5269f7,"Yes, because AI only uses statistics to prevent the worst, but it doesn't force us; it just provides support where, from what I've read, the choice always seems possible. Removing a burden from caregivers is also something positive for them, especially when you have to work with people at the end of their lives.",Neutral,"AI as a supportive tool, not decision-maker",AI in end-of-life care,AI reducing caregiver burnout,,,
8ee4428a-32e8-4da4-8efc-d2865715c20d,"yes, AIs assistance through thorough analysis of data and informed recommendations would do more good than harm for the society. but final decisions about death should not be made by AI",Neutral,"AI as a supportive tool, not decision-maker",AI in end-of-life care,,,,
b3a90ba2-0f1a-483a-900b-1f4831c00e4d,"A very novel topic, with the company of AI, you can alleviate your own pain, leave peacefully without your family being sad.",Neutral,AI in end-of-life care,AI's potential to alleviate suffering,,,,
8ba7997e-3130-460a-bc5a-a45e4283444a,AI and humanistic care should cooperate with each other,Neutral,Other,,,,,
2db9a227-7b81-4023-a33b-dd014535f06d,"For me, as someone who's quite emotional, I really see the value in this future, especially in how it can reduce family burden and conflict. When a loved one is nearing the end, families often face a lot of stress and disagreements about what to do. With the help of AI, offering recommendations based on data and medical expertise, families can navigate these tough decisions with a huge sense of relief and support, easing some of the emotional weight during such a difficult time.",Neutral,"AI as a supportive tool, not decision-maker",AI's impact on family decision-making,,,,
20f8d409-b909-4d16-8bc5-4a62d21d49e9,"I agree with AI's assistance in human health, but I have concerns about AI providing family recommendations for pain management or life support decisions that go against family preferences.",Neutral,AI's impact on family decision-making,Human oversight and ethical concerns,,,,
8f6f0197-057c-427c-9ddd-da6419f1619b,"I am actually unsure, I do see the benefits of AI in treatment and early detection, however I feel more secure with the judgement of a trained professional and there should be limits to what action AI is allowed to perform. I don't want to be excluded from human interaction and not have it replaced by AI when I am near the end of my life.",Neutral,Balancing AI and human interaction,Human oversight and ethical concerns,,,,
fd28e862-f236-4a16-9afd-3c783bef978e,"I believe AI can improve end-of-life care by helping to reduce suffering, support mental health, and lessen the workload for healthcare workers. However, I would feel uncomfortable with AI making independent choices about pain management or life support. These decisions are very personal and should involve human judgment. AI should act as a helpful tool, not the final decision-maker.",Neutral,"AI as a supportive tool, not decision-maker",AI in end-of-life care,Human oversight and ethical concerns,,,
748ce664-fa73-4df5-99f3-12cafa2cdc98,"I believe this future holds undeniable benefits, but it also poses complex ethical and humanitarian challenges.

On the one hand, AI could significantly improve end-of-life care by providing ongoing emotional support, reducing caregiver burnout, and enabling early intervention for vulnerable individuals. This would alleviate suffering and improve the quality of care.

On the other hand, the increasing role of AI in medical decision-making raises significant ethical questions. The fact that 35% of families feel uncomfortable when AI systems make decisions",Neutral,AI in end-of-life care,AI's potential to alleviate suffering,Human oversight and ethical concerns,,,
885f9334-b235-49ba-aa75-4d706c086429,"I have not been exposed to this kind of work and environment, but if my family can get better emotional value through the help of AI, then I support it. But I still think that if hospice care comes from machines instead of relatives or humans themselves, it will leave a lot of regrets.",Neutral,AI in end-of-life care,Emotional support from AI vs. humans,,,,
5ceff220-491a-49f7-b986-95490ffa6d52,"I hope to see such a future. The application of AI in hospice care can greatly improve the efficiency of early identification and intervention of mental health problems, reduce suicide rates, provide continuous emotional support to patients, and reduce the emotional pressure of medical staff. However, AI's recommendations on pain management and the timing of life support may conflict with family members, which requires in-depth discussion and regulation at the ethical and legal levels. Overall, the intervention of AI can significantly improve the quality of hospice care, but a balance needs to be found between technology and humanistic care.",Neutral,AI in end-of-life care,AI's impact on family decision-making,AI's role in mental health detection,Balancing AI and human interaction,,
1b2aa72b-924a-4ecf-87e3-f06d2e2badf1,"I like it to a certain extent. I feel like pattern-finding is indeed one of the things AI is best at, so it's a good idea to use it in that capacity. However, human connection is important for health; it's part of wellness and healthcare. Human connection isn't replaceable. I think AI is great for disease detection. For emotional support for those who are lonely, it's fine and should exist, but it's not ideal.",Neutral,AI's role in early disease detection,Balancing AI and human interaction,Emotional support from AI vs. humans,,,
