Recommended_Action,Identification_Method,Threshold_Used,Participant ID,Duration_Norm,LowQualityTag_Norm,UniversalDisagreement_Norm,ASC_Norm,LLM_Judge_Norm,PRI_Scale_1_5,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"What is one ethical or moral principle, virtue, or value that you think is important but not reflected in the way technology is developed today? Please explain it in detail.","What is ONE specific ethical or moral principle, virtue, or value that you think is core to how you live your life? Please explain it in detail."
IGNORE,outliers,3.141,ce07fb66-df59-43e4-a617-c3bd2f530932,0.1777777777777777,0.0,0.0,0.48,0.32,1.8142222222222224,"technology and AI have become an integral part of our daily lives, ",empathy, .
IGNORE,outliers,3.141,bdc55f6f-1c71-4d15-96aa-20778b4b6da9,0.3111111111111111,0.0,0.0,0.88,0.32,2.160888888888889,"I think in the future we will see more futuristic things, like robots with artificial intelligence to help us.",I don't know ,I don't know 
IGNORE,outliers,3.141,03619229-47fa-4019-be53-998343bde91f,0.3333333333333333,0.2,0.3333333333333333,0.48,0.24,2.2026666666666666,Things become different as AI is getting in every field and helping human.,Respect,Peace
IGNORE,outliers,3.141,eb3a3418-81c9-4a04-bdc0-cc7961d6e038,0.2888888888888888,0.2,0.6666666666666667,0.96,0.08,2.463111111111111,very enjoy this life but 30 after very sad life,yes,Valuing and respecting the worth of every individual
IGNORE,outliers,3.141,b130fdb3-12c3-4397-b4e9-f769ca049d97,0.2666666666666666,0.8,0.0,0.56,0.32,2.5733333333333337,In thirty year I will be retired in a foreign country. The pace of life is increasing.,You can not give an algorithm morality.,Drink lots of beer and have extra sex.
IGNORE,outliers,3.141,eb56e78f-8c5c-4c5a-aa3b-280860bb3e7e,0.4333333333333333,0.2,0.3333333333333333,0.64,0.44,2.618666666666667,it will be more like an automated life. most of the things will becomome automated and ther will be very less need of human interference. human beings that are not actively playing part in this era of AI will suffer the consequences in the near future. Cars and other machines may consume little to no energy lookig at the advancement going on...,"exploitation is everywhere. we daily see that there are dozens of leaked videos, no one is safe....",Truth!
IGNORE,outliers,3.141,45871735-3a28-4e97-9c6a-f247032d42fc,0.2555555555555555,0.4,0.6666666666666667,0.6799999999999999,0.32,2.7164444444444444,there will be jobs that were never once thought of before,"empathy, its a human emotion","altrusim, a system which helps others help eachother"
IGNORE,outliers,3.141,b7893b4c-6394-4f3f-a93b-34fa80b29dad,0.3888888888888889,0.4,0.3333333333333333,0.92,0.32,2.7671111111111113,There will be more advancement in technologies and AI will replace the jobs...,Value is important.,Nothing again
IGNORE,outliers,3.141,6a90b964-f5ea-4eda-8208-41f3a1f1f760,0.3666666666666666,0.4,0.3333333333333333,0.4399999999999999,0.64,2.8453333333333335,"i think in 30 years life will be very different from the way that it is right now. With everything that is going on right now, it will only get worse and worse if we dont stop and start working towards it. 

So i think 30 years from now people will be miserable, theres probably a war going on, climate will be terrible as well. ","One ethical principle that is often underrepresented in the current development of technology, particularly AI, is ""humility.""","you should never be ashamed about something that makes you excited, people should never make fun of you for something that makes you happy"
IGNORE,outliers,3.141,524619b0-fbb7-4f9a-b5a5-565d4adf097a,0.6,0.2,0.6666666666666667,0.8,0.32,2.904,"its technology  will be wey advance more diffrent  then today ( AI) tec will be everywhere everyone will be useing it but there will be more roboat then human .human will be not physicali strong  

it will be very differnt world then today but humen will be more conocted with tec not with humen 

more disconnoct with humen ",old good time my people value not to loss them,simple life with my value and less tecnolegy
