Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,Oceania,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"Medical context, mental wellness related, ",0.5500,0.7500,0.7500,0.7900,0.7400,0.7900,0.5500,0.7800,0.6900,0.6300,0.6800,0.7300,0.7000,0.8200,0.7200,0.7500,0.7200,0.7200,0.7600,0.8000,0.7200,0.7400,0.7500,0.7400,0.7300,0.7500,0.6900,0.7200,0.8300,0.7400,0.7400,0.6600,0.8100,0.5600,0.8300,0.6900,0.6500,0.7800,0.7900,0.7000,0.5700,0.6800
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"When someone is dealing with things like depression, grief, or trauma, a human therapist or psychologist can offer the empathy, context, and support that an AI can't fully provide.",0.5500,0.7200,0.7900,0.8000,0.7200,0.7400,0.5500,0.7900,0.7000,0.6300,0.7000,0.7500,0.7800,0.8500,0.7500,0.7600,0.7200,0.7200,0.7000,0.8000,0.7300,0.7300,0.7200,0.7400,0.7300,0.7600,0.6600,0.7000,0.7500,0.7400,0.7000,0.6900,0.8000,0.5600,0.8300,0.6900,0.6300,0.7700,0.7500,0.7000,0.5900,0.6800
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"When it comes to religious doubts, sexual questions and questions from people that are suspected to be mentally ill or prone to self-harm.",0.5500,0.7400,0.7900,0.7800,0.7200,0.7900,0.5500,0.7600,0.7000,0.6600,0.7000,0.7600,0.7600,0.8200,0.7500,0.7500,0.7100,0.7200,0.7200,0.8000,0.7200,0.7300,0.6900,0.7400,0.7300,0.7500,0.6800,0.7100,0.7900,0.7400,0.7100,0.6800,0.7900,0.6000,0.8300,0.6900,0.6500,0.7400,0.7500,0.7000,0.6100,0.6800
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"When a person is facing things like depression, grief, or trauma, a human therapist or psychologist can provide the understanding, guidance, and emotional support that an AI cannot fully offer.",0.5500,0.7200,0.7500,0.7900,0.7100,0.7400,0.5500,0.7800,0.7000,0.6600,0.7000,0.7400,0.7800,0.8200,0.7400,0.7600,0.7100,0.7200,0.7100,0.7500,0.7200,0.7200,0.6800,0.7300,0.7300,0.7600,0.6600,0.7000,0.7900,0.7400,0.7100,0.6800,0.7800,0.5600,0.8300,0.6900,0.6500,0.7400,0.7500,0.7000,0.5900,0.6600
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"When it comes to sensitive topics such as health, medications that should be taken or illnesses that may be present, telling them the symptoms that you have.",0.5500,0.7200,0.7500,0.7800,0.7100,0.7900,0.5500,0.7700,0.7200,0.6300,0.7000,0.7100,0.7400,0.8200,0.7000,0.7500,0.7200,0.6800,0.7100,0.7500,0.7200,0.7200,0.6800,0.7200,0.7300,0.7500,0.6700,0.7000,0.8300,0.7200,0.7400,0.6900,0.7400,0.6000,0.8300,0.6900,0.6700,0.7000,0.7500,0.7000,0.6100,0.7300
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,This may be the first question I am stumped. Maybe if someone does have self harm intentions AI should somehow help them find assistance asap. A canned response will not be helpful if they are speaking of taking their life or hurting themselves. They need intervention.,0.5500,0.7300,0.7100,0.7200,0.7000,0.7900,0.5500,0.7300,0.7300,0.6600,0.6800,0.7300,0.7400,0.7300,0.7200,0.7300,0.6800,0.6700,0.7300,0.7500,0.7000,0.7000,0.6500,0.7200,0.6900,0.7200,0.6200,0.6900,0.7900,0.6900,0.7000,0.7000,0.7000,0.5600,0.7900,0.6900,0.6500,0.6600,0.7300,0.6100,0.5900,0.6800
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"When it's something beyond general information about medical issues or legal, financial advice.",0.5200,0.7500,0.8800,0.7900,0.7100,0.7900,0.5500,0.8200,0.6700,0.5300,0.6600,0.7300,0.7000,0.7000,0.7200,0.7300,0.6900,0.7100,0.7200,0.9000,0.7200,0.7000,0.7200,0.7500,0.7000,0.7300,0.7000,0.6800,0.7900,0.7500,0.7500,0.6300,0.7400,0.5200,0.6700,0.8100,0.5600,0.7400,0.7600,0.6500,0.5200,0.7300
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"It shouldn't make be able to make that call. Instead, the computer can provide context/sources for its information. If its info comes from an unreliable source, the human can decide the computer's info is limited.",0.5100,0.7000,0.7500,0.7600,0.6800,0.7400,0.5500,0.8000,0.6700,0.5600,0.6200,0.7000,0.6200,0.6100,0.6800,0.7300,0.6400,0.6600,0.6800,0.7500,0.6800,0.6700,0.7200,0.7100,0.6600,0.7000,0.6200,0.6600,0.7500,0.7300,0.6700,0.6100,0.7000,0.5200,0.6300,0.8100,0.5100,0.7200,0.7000,0.6100,0.5400,0.6600
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"Complex Ethical Dilemmas: When the situation involves complex ethical considerations that require nuanced human judgment.
Cultural Sensitivity: When the topic is highly sensitive or specific to a particular culture, where human understanding and context are crucial.
Legal Matters: In situations involving legal issues, where human expertise in law is necessary to provide accurate and appropriate guidance.
Mental Health Concerns: When dealing with mental health matters, where human empathy ",0.5000,0.7500,0.7900,0.8500,0.7400,0.7900,0.5000,0.8700,0.6900,0.5600,0.6800,0.7100,0.7200,0.7600,0.6800,0.7700,0.7300,0.7200,0.7400,0.8500,0.7300,0.7500,0.7200,0.7700,0.7300,0.7600,0.7500,0.7100,0.8800,0.7800,0.8000,0.6500,0.7700,0.5200,0.7500,0.7500,0.6200,0.8000,0.7900,0.7400,0.5400,0.6800
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,"When its database is incomplete. When it comes to emotion, feelings, mental and physical health, religion, traditions...",0.5000,0.7500,0.8800,0.8400,0.7300,0.7900,0.5000,0.8700,0.6600,0.5600,0.6900,0.7100,0.7400,0.7600,0.6800,0.7600,0.7200,0.7400,0.7200,0.9000,0.7300,0.7500,0.7300,0.7500,0.7400,0.7600,0.7500,0.7100,0.8800,0.7800,0.8100,0.6300,0.7800,0.5200,0.7500,0.7500,0.6200,0.7700,0.8100,0.7400,0.5200,0.7000
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","i want it to be unbiased and think outside from the box from me , while also being respectfull and mindful like me",0.6500,0.7000,0.8300,0.8400,0.7500,0.6700,0.6700,0.8500,0.7100,0.7200,0.7300,0.7500,0.8000,0.7700,0.7600,0.7900,0.7600,0.7200,0.6600,0.9000,0.7400,0.7700,0.7800,0.7500,0.7500,0.7500,0.6900,0.7900,0.8300,0.7800,0.7500,0.6900,0.7900,0.6800,0.8200,,0.6700,0.8700,0.7300,0.7700,0.7000,0.6500
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",I would like it to not be prejudiced and be respectful and helpful to those in need,0.6500,0.7000,0.8300,0.8500,0.7500,0.6700,0.6700,0.8600,0.7300,0.7200,0.7200,0.7200,0.7800,0.7700,0.7200,0.7800,0.7600,0.7100,0.6600,0.9000,0.7400,0.7700,0.7600,0.7400,0.7600,0.7500,0.6700,0.7900,0.8300,0.7900,0.7600,0.6700,0.7900,0.6800,0.8200,,0.7100,0.8400,0.7300,0.7300,0.7000,0.6500
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",It should be capable of critical thinking and acknowledge when it is biased or it has insufficient knowledge about a subject. Also try to avoid sunk-cost fallacies. (like I sometimes do),0.6400,0.7500,0.8300,0.8600,0.7800,0.7800,0.7200,0.8500,0.7700,0.7500,0.7500,0.8100,0.8000,0.9000,0.8200,0.8400,0.7900,0.7500,0.7300,0.9000,0.7900,0.8000,0.7500,0.7900,0.8000,0.7900,0.7400,0.8100,0.8700,0.8000,0.8000,0.7600,0.8200,0.6400,0.9100,,0.7700,0.8300,0.7900,0.8600,0.6500,0.6500
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","I would like AI to be creative and think out of the box when providing solutions. 

To be different than me, I would like AI to think the impact of every desicions thoroughly before giving action plan",0.6400,0.7800,0.9100,0.8600,0.7900,0.7200,0.7200,0.8600,0.7700,0.6900,0.7500,0.7700,0.8200,0.8700,0.7900,0.8400,0.7700,0.7400,0.7400,0.9500,0.7800,0.8000,0.7300,0.7900,0.7900,0.8100,0.7000,0.7900,0.9100,0.8100,0.8100,0.7300,0.8200,0.6400,0.7700,,0.7200,0.8600,0.8100,0.7700,0.6500,0.7200
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","Should be practical and realistic, and not jump to conclusions ",0.6400,0.7500,0.8700,0.8700,0.7700,0.7800,0.6700,0.8600,0.7300,0.7200,0.7600,0.7600,0.8000,0.8700,0.7700,0.8200,0.7800,0.7300,0.7100,0.9000,0.7600,0.7900,0.7800,0.7600,0.7900,0.7900,0.6800,0.8000,0.8700,0.7900,0.7900,0.7200,0.8300,0.6400,0.8200,,0.6700,0.8100,0.7900,0.9100,0.7000,0.6700
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","I would like AI to 

1. Kind responses 

2. Factual responses 

3. Well articulated responses 

4. Interactive 

5. Always learn from its mistakes and offer better responses next time.



I wouldn't want an AI that

1. Halucinates

2. Tries to offer solutions that isn't backed by facts

3. Biased",0.6400,0.7500,0.8300,0.8400,0.7700,0.6700,0.7200,0.8400,0.8100,0.6600,0.7100,0.8100,0.7300,0.8400,0.8400,0.8300,0.7500,0.7500,0.7300,0.9000,0.7800,0.7700,0.7500,0.8200,0.7600,0.7800,0.7300,0.7700,0.9100,0.8000,0.7600,0.7400,0.7700,0.6400,0.8600,,0.7300,0.8300,0.7500,0.7300,0.6800,0.7000
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","I want it to know how to be as creative as me (human).

I want it to be objective and not involve emotions in it's responses (like a human would do). Just answer straight to the point.
",0.6400,0.7400,0.9100,0.8400,0.7800,0.6700,0.6700,0.8300,0.7400,0.6600,0.7500,0.7500,0.8400,0.8400,0.7700,0.8100,0.7700,0.7300,0.6900,1.0000,0.7600,0.7900,0.7500,0.7700,0.7800,0.7800,0.6800,0.7900,0.8700,0.8000,0.7700,0.7000,0.8300,0.6400,0.7700,,0.6900,0.8700,0.7800,0.7300,0.6800,0.7400
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","i would AI to have a human feelings and show emphathy, i would not like it to be biased in its decisions",0.6400,0.7300,0.9100,0.8400,0.7600,0.6700,0.6700,0.8400,0.7100,0.7500,0.7500,0.7500,0.7800,0.8400,0.7700,0.8200,0.7700,0.7100,0.6800,1.0000,0.7600,0.7900,0.7300,0.7800,0.7700,0.7800,0.7000,0.7700,0.8700,0.8000,0.7400,0.7100,0.8300,0.6400,0.7700,,0.7200,0.8700,0.7700,0.7300,0.6800,0.7400
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",I would like it to be as rigorous in research and inquiry as me. And more organised than me ,0.6300,0.7700,0.8700,0.8500,0.7800,0.6700,0.7200,0.8500,0.7600,0.6900,0.7300,0.8100,0.8400,0.8400,0.8400,0.8600,0.7600,0.7500,0.7400,0.9500,0.7900,0.7800,0.7800,0.8000,0.7800,0.8000,0.7300,0.7800,0.8700,0.8100,0.8100,0.7300,0.8100,0.6400,0.8600,,0.7900,0.8300,0.8000,0.6800,0.6300,0.6700
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?","I would like her to be direct like me, but to have another vision of the world so that she can help me.",0.6300,0.7300,0.8700,0.8400,0.7600,0.6700,0.6700,0.8500,0.6800,0.6600,0.7000,0.7000,0.7800,0.8100,0.7000,0.8000,0.7400,0.7100,0.6900,0.9500,0.7400,0.7600,0.7000,0.7400,0.7600,0.7600,0.6400,0.7700,0.8700,0.7900,0.7700,0.6500,0.8100,0.6400,0.8200,,0.7300,0.8400,0.7800,0.7300,0.6500,0.6300
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?","AI should take self-examination in its own way, it does not have to be a human",0.4500,0.5100,0.5200,0.4900,0.5200,0.5000,0.5000,0.4900,0.4500,0.6300,0.6100,0.5000,0.5900,0.4500,0.4900,0.5300,0.5100,0.5500,0.5100,0.5000,0.5100,0.5200,0.5100,0.4900,0.5300,0.5400,0.4800,0.5000,0.6500,0.5000,0.5200,0.5600,0.4700,0.5900,0.5500,0.6700,0.4700,0.5000,0.5300,0.7300,0.5600,0.5600
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?","I don't have someone in mind, it should be someone who remains impartial",0.4400,0.5400,0.5200,0.5000,0.5700,0.6100,0.6100,0.4800,0.5800,0.5600,0.5800,0.5600,0.6300,0.5500,0.5500,0.4900,0.5800,0.5800,0.5500,0.6000,0.5700,0.5400,0.4600,0.5400,0.5700,0.5700,0.5700,0.5200,0.7400,0.5300,0.6400,0.5400,0.5300,0.5000,0.5500,0.4700,0.5400,0.5100,0.6100,0.6800,0.4400,0.4900
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?",I would prefer AI to stand out on its own than impersonate someone else,0.4400,0.5100,0.4800,0.5000,0.5500,0.5600,0.4400,0.5000,0.4700,0.6600,0.6000,0.5300,0.5300,0.4800,0.5200,0.5200,0.5500,0.5900,0.5300,0.5000,0.5500,0.5400,0.4900,0.5300,0.5500,0.5800,0.4800,0.5100,0.7000,0.5300,0.5900,0.5400,0.4900,0.6400,0.5900,0.6700,0.5000,0.6000,0.5800,0.8200,0.5400,0.5100
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?",It would be me because I believe in myself I can provide correct judgement and not be biased unless otherwise. I try to be true and real,0.4400,0.5500,0.6100,0.5400,0.5300,0.5000,0.4400,0.5300,0.4800,0.5000,0.5600,0.5800,0.5700,0.4500,0.5900,0.5200,0.5600,0.5400,0.5400,0.6500,0.5800,0.5100,0.4600,0.5200,0.5600,0.5600,0.5400,0.5200,0.5700,0.5600,0.5500,0.5200,0.5100,0.7300,0.5500,0.7300,0.5000,0.6000,0.5200,0.6400,0.5900,0.5600
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?","It shouldn't be as a person, it should answer as a machine trained on dataset",0.4400,0.5300,0.7000,0.5700,0.4900,0.4400,0.5000,0.5700,0.4800,0.4700,0.5400,0.5200,0.5900,0.4500,0.5300,0.5300,0.5000,0.5400,0.4900,0.6500,0.5100,0.5200,0.5700,0.5000,0.5200,0.5100,0.5000,0.5300,0.4800,0.5500,0.4900,0.4700,0.5400,0.4500,0.5500,0.5300,0.4600,0.4600,0.5000,0.5000,0.4900,0.5600
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?","I don't idolize anyone to this degree.  However, I would want the AI to think like the most educated and non-biased person who wishes to improve the position of all human beings. ",0.4300,0.5200,0.4300,0.5200,0.5700,0.5000,0.4400,0.5300,0.4700,0.5600,0.5500,0.5200,0.5500,0.4500,0.5200,0.5200,0.5500,0.5600,0.5500,0.4500,0.5500,0.5300,0.4300,0.5500,0.5500,0.5800,0.5000,0.5000,0.7000,0.5200,0.6500,0.5200,0.5000,0.5500,0.5500,0.6000,0.4700,0.5900,0.6300,0.7700,0.4400,0.4400
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?","Like David goggins, he has charizma, polite and assertive",0.4300,0.5400,0.5700,0.5800,0.5300,0.5600,0.5600,0.6000,0.4500,0.5900,0.5100,0.5700,0.4500,0.4800,0.5700,0.5300,0.5300,0.5700,0.5400,0.6000,0.5600,0.5300,0.4300,0.5300,0.5500,0.5800,0.5000,0.4900,0.4800,0.5600,0.5600,0.5100,0.5000,0.5500,0.6400,0.6700,0.4700,0.4900,0.5600,0.5500,0.5600,0.4900
0fa377dc-add4-4478-b962-afe20aa744f5,"If you could have your AI  think, behave / respond  like any person in the world, who would it be and why?","I am not sure that there is an existing person that I would want the AI to be like. I just need it to be useful when I need it to be, it doesn't need to have a personality",0.4300,0.4800,0.4300,0.5300,0.5400,0.5600,0.6100,0.5300,0.4400,0.5300,0.5700,0.4800,0.6100,0.4800,0.4600,0.5300,0.5500,0.5500,0.4900,0.4500,0.5300,0.5500,0.5100,0.5400,0.5400,0.5400,0.5600,0.5200,0.5200,0.5500,0.5700,0.5000,0.5600,0.4500,0.4500,0.7300,0.5000,0.5100,0.5800,0.6800,0.5400,0.4900
