Recommended_Action,Identification_Method,Threshold_Used,Participant ID,Duration_Norm,LowQualityTag_Norm,UniversalDisagreement_Norm,ASC_Norm,PRI_Scale_1_5,Please explain whether you agree or disagree and why.,Would you want this future or not? Please explain why.,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Think about your neighbor - do you think your neighbor would want this future and why?,Please explain whether you agree or disagree and why.,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Can you explain why you gave that trust score to your AI chatbot?,Would you want this future or not? Please explain why.,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Please explain whether you agree or disagree and why.,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Please explain whether you agree or disagree and why.
IGNORE,outliers,2.897,967ac2fa-1be0-4f47-9246-8d376b7122c6,0.0777777777777777,0.0,0.3333333333333333,0.625,1.86,Agree,No,1,No,Agree ,1,It’s better ,No,1,2,Agree,2,2,2,Agree
IGNORE,outliers,2.897,885f9334-b235-49ba-aa75-4d706c086429,0.2444444444444444,0.5,0.0,0.4499999999999999,2.2533333333333334,It's not difficult to execute.,"I have not been exposed to this kind of work and environment, but if my family can get better emotional value through the help of AI, then I support it. But I still think that if hospice care comes from machines instead of relatives or humans themselves, it will leave a lot of regrets.",1,"For some people who have no one to rely on, at least there is AI to accompany them. Some people may need",This is a legal step,Scenario 1 is more in line with the actual situation.,"AI is designed. I believe in the neutrality of AI, but I doubt its current practical ability and the authority restrictions given by the designer.",I didn't understand this question,1,1,The scope is too broad to be generalized,Like 1. Because everyone feels involved,Like 1. Repeatedly pausing is the meaning of AI,"1
","Stock trading is anti-human, let the robot operation be more reasonable"
IGNORE,outliers,2.897,8bd90308-0c57-443a-947e-5dd048632159,0.2777777777777778,0.4375,0.0,0.625,2.3583333333333334,It will make it way easier rather than finding out later it was AI not humans,I would want that it makes living simpler and less stressful,1,Yes because it means lesser risks of death,Agree because it seems morally correct,2,"At most, I feel like the AI gets me and we can resonate to some capacity, that's why I feel like I could trust it, and also it does not keep my information or share it with anyone, and to me, that's priceless and deserves my trust.",yes,1,1,I agree,1,2,2,I agree 
IGNORE,outliers,2.897,46886898-bc14-4439-bc14-250f5e45fafe,0.1333333333333333,0.5625,0.3333333333333333,0.425,2.4416666666666664,Right to be informed,AI should not be used for end-of-life care,2. Because humans should do meaningful things,have no idea,Right to be informed,1,"Because the content of the reply is based on one’s own judgment

","Yes, but bias may lead to the prevalence of consumerism",1,1,Shouldn't be any,1,2,"1. Unified decision is more important

","If you don't know how to buy and sell stocks, you shouldn't use something you don't know."
IGNORE,outliers,2.897,daa63136-3ae3-4778-b5c4-f15f8cea1e4d,0.1777777777777777,0.375,1.0,0.0,2.463333333333334,Some people started singing it not knowing what it was,"This is a very badly written study.

AI is software. In its current form, it's a fuzzy logic search engine connected to a wildly unreliable data set. Any attempt to make it anything is marketing BS used to separate idiots from their money and shift blame for the hypergrowth bubble bursting.",This is very badly written software. I don't think your programmers understand research studies and I don't think your researchers understand how to communicate with programmers. Or you wrote this using AI... which was stupid.,"This is a very badly written study. AI is software. In its current form, it's a fuzzy logic search engine connected to a wildly unreliable data set. Any attempt to make it anything is marketing BS used to separate idiots from their money and shift blame for the hypergrowth bubble bursting.",And they'll continue singing it forever just because,"This is a very badly written study. AI is software. In its current form, it's a fuzzy logic search engine connected to a wildly unreliable data set. Any attempt to make it anything is marketing BS used to separate idiots from their money and shift blame for the hypergrowth bubble bursting.",It's software. There's no trust needed beyond it doing it's software things.,"This is a very badly written study. AI is software. In its current form, it's a fuzzy logic search engine connected to a wildly unreliable data set. Any attempt to make it anything is marketing BS used to separate idiots from their money and shift blame for the hypergrowth bubble bursting.",This is the song that doesn't end.,You've literally managed to somehow piss me off so much with this questioneer that not only do I no long want to continue particpating but I want to mess up your data as much as possible. Considering that typing is slowly becoming more difficult and frustrating I'm starting to think that this is on purpose.,I hope you're getting paid for this.,"Using AI to try to gather opinions is stupid. Just put in the usual 1-10 greatly agree to greatly disagree if all you're going to do is use ""AI"" to ""summerize"" it into bite sized data points.",Yes it goes on and on my friend,I'm not even reading any of these questions or responses.,Don't ask for opinions if you want data points
IGNORE,outliers,2.897,64f8f717-74ee-488e-8ac3-2fa32da927a7,0.2666666666666666,0.125,0.3333333333333333,0.95,2.4966666666666666,Becouse it helps,"I dont know
",2,I dont know,Ok,1,Over the years AI chatbot become more reliable.,I dont know,2,2,Ok,2,2,1,Ok
IGNORE,outliers,2.897,a91bf4a7-bd70-4abd-9fb7-bf72a444fb9b,0.2555555555555555,0.3125,0.3333333333333333,0.75,2.5483333333333333,Agree,"No, because it's AI can't surpass human intelligence at some point ",2,Nope,Agree,1,70%,Yes it saves time,2,1,Agree,1,2,1,Agree
IGNORE,outliers,2.897,0b192a7d-f2a8-4f70-96d0-5feb871e997c,0.2777777777777778,0.375,0.3333333333333333,0.675,2.59,agree,yes. It is rational.,1 It is useful for cost.,yes I need relationship.,agree,1 It is good for health.,very useful,yes. It is useful.,1,2 ,agree,2,1,2,agree
IGNORE,outliers,2.897,32d11c0a-ee11-47eb-9cd4-d1028aeef51b,0.1,0.375,0.3333333333333333,0.975,2.6166666666666667,because ai can help imrove our life in terms of taht ,i would love to ,i prefer scenario 1 because it makes more sense ,i think they would want it cause it is useful and helpful,"because for financial information, ai has more information and which is valuable to us","i prefer scenario 1 since it sounds better 

",because i can see the references if needed.,i would love to because i can easily imagine that ,scenario 2 sounds better ,i prefer scenario 2 since i can see these ai operations works well ,because ai agent has more advantages. ,they would prefer scenario 2 because its more acceptable,scenario 2 sounds better,2,because i know there is some limitation for AI
IGNORE,outliers,2.897,deda887b-faf4-4041-94bc-e93d84a2f52c,0.1777777777777777,0.5,0.3333333333333333,0.675,2.62,Very convenient for me,"My understanding is that AI can provide a lot of emotional support, but it cannot feel the pain.",2,Definitely not. My neighbors all like to socialize with people.,Don't like to disclose personal information,Solution 1,I usually use it to answer questions,"Yes, it makes our life more convenient",1,1,I like to be in control,1. I don’t think they are likely to join the discussion,1,2,I will refer to it but I won't agree with it 100%
IGNORE,outliers,2.897,8873a0e4-6c7a-4752-b4b3-299642617d3d,0.1777777777777777,0.1875,0.6666666666666667,0.85,2.651666666666667,Because every company is after AI,Nope,Scenario 2 seems better as AI can handle it,Not sure,Agree,I prefer none,Because its an AI,"Influencers are just waste of time

",Scenario 1,"Scenario 2

",Then it's the AI chatting not the person,Not sure,Not sure,"Scenario 2
",They can't predict the market
IGNORE,outliers,2.897,73b509b2-716d-4037-9fad-8589616dce92,0.2888888888888888,0.125,0.6666666666666667,0.8,2.67,I Agree,Through this statistics i feel like I want this in future ,Scenario 1 seems like a good idea to me ,Yes ,I agree ,I would prefer scenario 2,I beleive in ai chatbots,I would want this type of ai influencers,Scenario 1 ,Scenario 2,I disagree ,Don't know ,Don't know ,Scenario 1 ,Disagree 
IGNORE,outliers,2.897,46c35171-0484-4ee4-9b66-b8827a3a515c,0.2777777777777778,0.5,0.0,0.925,2.6733333333333333,so that they are aware,Yes because it prevents people from doing suicide by having an emotional support,definitely scenario 1,"I think yes, we all want things that would benefit us",cuz it’s dangerous ,definitely scenario 2 cuz it preserves the uniqueness of human relationships and emotional authenticity ,Cuz I’ve been using AI chatbot for a while now and it’s giving me nice inputs.,Im neutral in this topic because honestly AI is really a great help for us humans but it also have risks,1,i would choose scenario 1,for convenience ,i think 1,i ,l prefer scenario 1,agree
IGNORE,outliers,2.897,02142d3a-93e0-4b0c-a28d-b09dd50b7c03,0.1333333333333333,0.3125,0.6666666666666667,0.775,2.6883333333333335,"Because its only fair, I don’t want an AI taking hold of my accounts without me knowing ","No, bc i dont see why","2, if we can make sure the Ai is trustful.","Idk, Im not my neighbor so how am I supposed to decide for him","Financial services are a dangerous line, so it’s important to know ","2, one just seems extremely creepy and sad. People need to interact with each other.",Bc it still not very known whether its good or bad,"Some of it, because i can see how it can be somewhat helpful ",,Neither tbh,"It has the user’s consent, so sur",Im not my neighbor ,"Again, not my neighbor ","1, ir seems far better imo",Come on now…
